protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
BOOST,5,0.99876,2.99189,0.5012,18,discharge,2,-23.932,7.977,10.0,9.9,3.7275,3.4155,13.0369,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.5011,19,discharge,0,-34.398,11.466,10.0,9.9,3.7274,3.2887,12.7536,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4016,21,discharge,0,-2.993,0.998,10.0,9.9,3.6473,3.6068,13.5302,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4015,21,discharge,1,-11.968,3.989,10.0,9.9,3.6474,3.4873,13.3773,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4014,21,discharge,2,-23.931,7.977,10.0,9.9,3.6475,3.3372,12.9664,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4014,22,discharge,0,-34.399,11.466,10.0,9.9,3.6478,3.2112,12.6922,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3019,24,discharge,0,-2.995,0.998,10.0,9.9,3.5889,3.5482,13.5873,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3018,24,discharge,1,-11.968,3.989,10.0,9.9,3.5889,3.4281,13.4358,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3017,24,discharge,2,-23.932,7.977,10.0,9.9,3.5885,3.2757,13.0704,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3017,25,discharge,0,-34.399,11.466,10.0,9.9,3.5885,3.1473,12.826,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.2022,27,discharge,0,-2.992,0.997,10.0,9.9,3.5039,3.4607,14.4395,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.2021,27,discharge,1,-11.967,3.989,10.0,9.9,3.5042,3.337,13.9718,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.202,27,discharge,2,-23.933,7.978,10.0,9.9,3.5073,3.1735,13.9473,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.2019,27,discharge,3,-34.399,11.466,10.0,9.9,3.5074,3.0323,13.8114,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1523,29,discharge,0,-2.994,0.998,10.0,9.9,3.4449,3.3993,15.2315,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1523,29,discharge,1,-11.967,3.989,10.0,9.9,3.4455,3.2709,14.5901,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1522,29,discharge,2,-23.931,7.977,10.0,9.9,3.4468,3.0978,14.5836,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1521,29,discharge,3,-34.4,11.467,10.0,9.9,3.4462,2.9239,15.1831,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1025,30,discharge,0,-2.996,0.999,10.0,9.9,3.3999,3.3502,16.5899,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1024,30,discharge,1,-11.967,3.989,10.0,9.9,3.3997,3.191,17.4396,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1023,30,discharge,2,-23.93,7.977,10.0,9.9,3.4011,2.8593,22.641,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.1022,30,discharge,3,-34.4,11.467,10.0,9.9,3.4005,2.4983,26.2267,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.0526,31,discharge,0,-2.994,0.998,10.0,9.9,3.3463,3.2728,24.5483,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.0526,31,discharge,1,-11.965,3.988,10.0,9.9,3.3479,2.8684,40.0752,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.0524,31,discharge,2,-23.355,7.785,10.0,9.9,3.3518,2.4995,36.4933,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.0523,31,discharge,3,-19.45,6.483,10.0,9.9,3.3502,2.4998,43.7224,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,40,0.99259,2.97342,1.0,0,discharge,0,-2.98,0.993,10.0,9.9,4.1808,4.1306,16.8473,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9999,0,discharge,1,-11.914,3.971,10.0,9.9,4.1806,3.9938,15.679,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9997,0,discharge,2,-23.824,7.941,10.0,9.9,4.1797,3.8341,14.5064,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9991,0,discharge,3,-34.245,11.415,10.0,9.9,4.179,3.7102,13.6896,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9494,1,discharge,0,-2.979,0.993,10.0,9.9,4.1033,4.0612,14.1308,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9493,1,discharge,1,-11.911,3.97,10.0,9.9,4.1034,3.9432,13.4498,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9492,1,discharge,2,-23.824,7.941,10.0,9.9,4.1033,3.8008,12.6973,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.9492,1,discharge,3,-34.244,11.415,10.0,9.9,4.1038,3.6812,12.3408,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8998,2,discharge,0,-2.981,0.994,10.0,9.9,4.0825,4.0418,13.6513,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8997,2,discharge,1,-11.913,3.971,10.0,9.9,4.0826,3.9265,13.1033,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8996,2,discharge,2,-23.825,7.942,10.0,9.9,4.0826,3.7854,12.4743,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8995,2,discharge,3,-34.244,11.415,10.0,9.9,4.0831,3.6637,12.2474,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8006,3,discharge,0,-2.982,0.994,10.0,9.9,4.027,3.9797,15.8624,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8005,3,discharge,1,-11.912,3.971,10.0,9.9,4.0272,3.8488,14.9765,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8004,3,discharge,2,-23.824,7.941,10.0,9.9,4.0275,3.6972,13.8642,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.8003,3,discharge,3,-34.245,11.415,10.0,9.9,4.0276,3.5709,13.3363,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.7013,4,discharge,0,-2.98,0.993,10.0,9.9,3.9202,3.8729,15.8735,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.7012,4,discharge,1,-11.913,3.971,10.0,9.9,3.921,3.7474,14.5723,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.7011,4,discharge,2,-23.823,7.941,10.0,9.9,3.9213,3.607,13.1931,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.701,4,discharge,3,-34.246,11.415,10.0,9.9,3.9216,3.4879,12.6643,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.602,5,discharge,0,-2.98,0.993,10.0,9.9,3.8496,3.7995,16.8126,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.602,5,discharge,1,-11.912,3.971,10.0,9.9,3.8491,3.674,14.6995,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.6019,5,discharge,2,-23.824,7.941,10.0,9.9,3.8501,3.5305,13.415,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.6018,5,discharge,3,-34.244,11.415,10.0,9.9,3.8505,3.409,12.8928,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.5027,6,discharge,0,-2.98,0.993,10.0,9.9,3.728,3.6873,13.6591,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.5027,6,discharge,1,-11.912,3.971,10.0,9.9,3.728,3.5721,13.0876,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.5026,6,discharge,2,-23.822,7.941,10.0,9.9,3.7283,3.4263,12.6774,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.5025,6,discharge,3,-34.243,11.414,10.0,9.9,3.7283,3.302,12.4493,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.4035,7,discharge,0,-2.98,0.993,10.0,9.9,3.6477,3.6085,13.1544,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.4034,7,discharge,1,-11.912,3.971,10.0,9.9,3.6478,3.494,12.9113,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.4033,7,discharge,2,-23.824,7.941,10.0,9.9,3.6482,3.349,12.5588,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.4032,7,discharge,3,-34.246,11.415,10.0,9.9,3.6482,3.2254,12.346,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.3042,8,discharge,0,-2.98,0.993,10.0,9.9,3.5881,3.5483,13.3566,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.3041,8,discharge,1,-11.914,3.971,10.0,9.9,3.5881,3.4303,13.2449,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.304,8,discharge,2,-23.824,7.941,10.0,9.9,3.5878,3.2798,12.9281,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.304,8,discharge,3,-34.245,11.415,10.0,9.9,3.5877,3.1512,12.7464,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.2049,9,discharge,0,-2.98,0.993,10.0,9.9,3.5006,3.4585,14.128,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.2049,9,discharge,1,-11.914,3.971,10.0,9.9,3.501,3.338,13.6814,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.2048,9,discharge,2,-23.821,7.94,10.0,9.91,3.5042,3.1774,13.719,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.2047,9,discharge,3,-34.244,11.415,10.0,9.91,3.5043,3.0365,13.6608,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1553,10,discharge,0,-2.982,0.994,10.0,9.9,3.4412,3.3967,14.9249,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1552,10,discharge,1,-11.911,3.97,10.0,9.9,3.4417,3.2717,14.2725,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1551,10,discharge,2,-23.826,7.942,10.0,9.9,3.4431,3.0964,14.5513,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.155,10,discharge,3,-34.245,11.415,10.0,9.9,3.4416,2.9149,15.3803,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1057,11,discharge,0,-2.982,0.994,10.0,9.9,3.3993,3.3493,16.7678,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1056,11,discharge,1,-11.914,3.971,10.0,9.9,3.3997,3.1869,17.8613,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1055,11,discharge,2,-23.825,7.942,10.0,9.9,3.4015,2.8368,23.702,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.1054,11,discharge,3,-34.244,11.415,10.0,9.9,3.4004,2.4985,26.3375,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.056,12,discharge,0,-2.982,0.994,10.0,9.9,3.3359,3.2624,24.6495,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.056,12,discharge,1,-11.913,3.971,10.0,9.9,3.3387,2.855,40.6027,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.0559,12,discharge,2,-23.289,7.763,10.0,9.9,3.3415,2.4995,36.1544,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,40,0.99259,2.97342,0.0558,12,discharge,3,-19.805,6.602,10.0,9.9,3.341,2.4996,42.4842,05-10-21_04.52_BOOST_protocol_HPPC_IN21700_30T_cycle_#40.mat
BOOST,76,0.99032,2.96662,1.0,0,discharge,0,-2.972,0.991,10.0,9.9,4.1795,4.1282,17.2628,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9999,0,discharge,1,-11.877,3.959,10.0,9.9,4.1791,3.9901,15.9131,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9998,0,discharge,2,-23.753,7.918,10.0,9.9,4.1791,3.8313,14.6424,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9992,0,discharge,3,-34.142,11.381,10.0,9.9,4.1778,3.7074,13.7778,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9496,1,discharge,0,-2.97,0.99,10.0,9.9,4.103,4.0607,14.2419,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9495,1,discharge,1,-11.875,3.958,10.0,9.9,4.1031,3.9423,13.5411,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9494,1,discharge,2,-23.754,7.918,10.0,9.91,4.1031,3.7988,12.8105,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9493,1,discharge,3,-34.142,11.381,10.0,9.9,4.1036,3.6776,12.4773,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9001,2,discharge,0,-2.97,0.99,10.0,9.9,4.0825,4.0419,13.671,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.9,2,discharge,1,-11.877,3.959,10.0,9.9,4.0819,3.9259,13.1346,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.8999,2,discharge,2,-23.755,7.918,10.0,9.9,4.0828,3.7828,12.6289,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.8998,2,discharge,3,-34.144,11.381,10.0,9.9,4.0831,3.6596,12.4034,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.8012,3,discharge,0,-2.97,0.99,10.0,9.9,4.0269,3.9806,15.5908,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.8011,3,discharge,1,-11.877,3.959,10.0,9.9,4.027,3.8508,14.8354,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.801,3,discharge,2,-23.752,7.917,10.0,9.9,4.0264,3.701,13.6999,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.8009,3,discharge,3,-34.143,11.381,10.0,9.9,4.0274,3.5761,13.2179,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.7022,4,discharge,0,-2.97,0.99,10.0,9.9,3.921,3.8731,16.1296,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.7021,4,discharge,1,-11.877,3.959,10.0,9.9,3.921,3.7472,14.6333,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
BOOST,76,0.99032,2.96662,0.702,4,discharge,2,-23.754,7.918,10.0,9.9,3.9214,3.6067,13.2483,05-17-21_17.23_BOOST_protocol_HPPC_IN21700_30T_cycle_#76.mat
