protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.4049,7,discharge,3,-34.172,11.391,10.0,9.9,3.6497,3.2129,12.7824,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.3061,8,discharge,0,-2.974,0.991,10.0,9.9,3.5908,3.5499,13.7544,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.306,8,discharge,1,-11.89,3.963,10.0,9.9,3.591,3.429,13.6249,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.3059,8,discharge,2,-23.777,7.926,10.0,9.9,3.5906,3.2754,13.2565,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.3058,8,discharge,3,-34.175,11.392,10.0,9.9,3.5901,3.1464,12.9832,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.207,9,discharge,0,-2.971,0.99,10.0,9.9,3.5055,3.4627,14.4035,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.2069,9,discharge,1,-11.89,3.963,10.0,9.9,3.5057,3.3407,13.8772,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.2068,9,discharge,2,-23.776,7.925,10.0,9.9,3.5086,3.18,13.8207,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.2067,9,discharge,3,-34.174,11.391,10.0,9.9,3.5089,3.0425,13.6478,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1575,10,discharge,0,-2.974,0.991,10.0,9.9,3.4455,3.401,14.9655,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.1574,10,discharge,1,-11.89,3.963,10.0,9.9,3.446,3.277,14.2136,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
