cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
EKF_P,0.4849,0.7501,2.0,1224,0,624,1.1525509357452393,1.0467455387115479,0.0,0.34825602173805237,4.896
REFF,0.7963,0.782,2.0,736,0,624,1.0360610485076904,1.013906717300415,0.021836677566170692,0.0,2.944
TRIM,0.7963,0.782,2.0,1612,0,624,1.0360610485076904,1.013906717300415,0.0,0.0,6.448
SOLVE,0.7963,0.782,2.0,10568,17,624,1.0360610485076904,1.013906717300415,0.0,-63.14020919799805,42.272
FULL,0.7963,0.782,2.0,12148,17,624,1.0360610485076904,1.013906717300415,0.0,-63.14020919799805,48.592
FEAT,0.7963,0.782,2.0,3276,0,624,1.0360610485076904,1.013906717300415,0.0,0.0,13.104
FEAT_A8,0.7963,0.782,2.0,1475,0,624,1.0360610485076904,1.013906717300415,0.0,0.0,5.9
EKF,0.7963,0.782,2.0,1745,0,624,1.0360610485076904,1.013906717300415,0.0,0.34178608655929565,6.98
EKF_P,0.7963,0.782,2.0,1200,0,624,1.0360610485076904,1.013906717300415,0.0,0.34271201491355896,4.8
REFF,0.8873,0.9441,10.0,778,0,624,1.117218255996704,1.0311174392700195,0.01640058122575283,0.0,3.112
TRIM,0.8873,0.9441,10.0,1634,0,624,1.117218255996704,1.0311174392700195,0.0,0.0,6.536
SOLVE,0.8873,0.9441,10.0,10963,17,624,1.117218255996704,1.0311174392700195,0.0,-68.85543060302734,43.852
FULL,0.8873,0.9441,10.0,12577,17,624,1.117218255996704,1.0311174392700195,0.0,-68.85543060302734,50.308
FEAT,0.8873,0.9441,10.0,3276,0,624,1.117218255996704,1.0311174392700195,0.0,0.0,13.104
FEAT_A8,0.8873,0.9441,10.0,1478,0,624,1.117218255996704,1.0311174392700195,0.0,0.0,5.912
EKF,0.8873,0.9441,10.0,1763,0,624,1.117218255996704,1.0311174392700195,0.0,0.3245527446269989,7.052
EKF_P,0.8873,0.9441,10.0,1218,0,624,1.117218255996704,1.0311174392700195,0.0,0.3254786729812622,4.872
REFF,0.8858,0.974,10.0,796,0,624,1.1359790563583374,1.0431711673736572,0.015311378054320812,0.0,3.184
