cmd,sample,cycles,us,soh
SOH,146,1624,6.4960,0.941953
SOH,147,1624,6.4960,0.931932
SOH,148,1624,6.4960,0.931462
SOH,149,1624,6.4960,0.924230
SOH,150,1624,6.4960,0.917044
SOH,151,1624,6.4960,0.910686
SOH,152,1624,6.4960,0.904838
SOH,153,1624,6.4960,0.904906
SOH,154,1624,6.4960,0.892424
SOH,155,1624,6.4960,0.893069
SOH,156,1624,6.4960,0.883986
SOH,157,1624,6.4960,0.884072
SOH,158,1624,6.4960,0.866468
SOH,159,1624,6.4960,0.856902
SOH,160,1624,6.4960,0.859953
SOH,161,1624,6.4960,0.852790
SOH,162,1624,6.4960,0.848265
SOH,163,1624,6.4960,0.839079
SOH,164,1624,6.4960,0.825199
SOH,165,1624,6.4960,0.805183
SOH,166,1624,6.4960,0.803033
SOH,167,1624,6.4960,0.790025
SOH,168,1624,6.4960,0.815735
SOH,169,1624,6.4960,0.811913
SOH,170,1624,6.4960,0.803965
SOH,171,1624,6.4960,0.789739
SOH,172,1624,6.4960,0.793496
SOH,173,1624,6.4960,0.778904
SOH,174,1624,6.4960,0.776114
SOH,175,1624,6.4960,0.765432
SOH,176,1624,6.4960,0.760857
SOH,177,1624,6.4960,0.753294
SOH,178,1624,6.4960,0.738500
SOH,179,1624,6.4960,0.725886
SOH,180,1624,6.4960,0.732538
SOH,181,1624,6.4960,0.719928
SOH,182,1624,6.4960,0.710731
SOH,183,1624,6.4960,0.689553
SOH,184,1624,6.4960,0.680581
SOH,185,1624,6.4960,0.996308
SOH,186,1624,6.4960,0.983915
SOH,187,1624,6.4960,0.977814
SOH,188,1624,6.4960,0.966198
SOH,189,1624,6.4960,0.954658
SOH,190,1624,6.4960,0.955794
SOH,191,1624,6.4960,0.950657
SOH,192,1624,6.4960,0.935948
SOH,193,1624,6.4960,0.942254
SOH,194,1624,6.4960,0.939576
SOH,195,1624,6.4960,0.934406
SOH,196,1624,6.4960,0.924361
SOH,197,1624,6.4960,0.923847
SOH,198,1624,6.4960,0.924145
SOH,199,1624,6.4960,0.915438
SOH,200,1624,6.4960,0.910091
SOH,201,1624,6.4960,0.901527
SOH,202,1624,6.4960,0.897006
SOH,203,1624,6.4960,0.876738
SOH,204,1624,6.4960,0.876978
SOH,205,1624,6.4960,0.866828
SOH,206,1624,6.4960,0.872293
SOH,207,1624,6.4960,0.857922
SOH,208,1624,6.4960,0.857625
SOH,209,1624,6.4960,0.855380
SOH,210,1624,6.4960,0.849918
SOH,211,1624,6.4960,0.851550
SOH,212,1624,6.4960,0.841552
SOH,213,1624,6.4960,0.824037
SOH,214,1624,6.4960,0.829845
SOH,215,1624,6.4960,0.822031
SOH,216,1624,6.4960,0.817629
SOH,217,1624,6.4960,0.801059
SOH,218,1624,6.4960,0.806992
SOH,219,1624,6.4960,0.786930
SOH,220,1624,6.4960,0.785220
SOH,221,1624,6.4960,0.778234
SOH,222,1624,6.4960,0.767874
SOH,223,1624,6.4960,0.775566
SOH,224,1624,6.4960,0.776205
SOH,225,1624,6.4960,0.766842
SOH,226,1624,6.4960,0.751560
SOH,227,1624,6.4960,0.745408
SOH,228,1624,6.4960,0.725622
SOH,229,1624,6.4960,0.725923
SOH,230,1624,6.4960,0.706840
SOH,231,1624,6.4960,0.716385
SOH,232,1624,6.4960,0.701266
SOH,233,1624,6.4960,0.692508
SOH,234,1624,6.4960,0.995188
SOH,235,1624,6.4960,0.990929
SOH,236,1624,6.4960,0.977050
SOH,237,1624,6.4960,0.964604
SOH,238,1624,6.4960,0.964404
SOH,239,1624,6.4960,0.965364
SOH,240,1624,6.4960,0.946034
SOH,241,1624,6.4960,0.948218
SOH,242,1624,6.4960,0.943347
SOH,243,1624,6.4960,0.938499
SOH,244,1624,6.4960,0.932714
SOH,245,1624,6.4960,0.926280
SOH,246,1624,6.4960,0.920402
SOH,247,1624,6.4960,0.916919
SOH,248,1624,6.4960,0.919520
SOH,249,1624,6.4960,0.906861
SOH,250,1624,6.4960,0.904045
SOH,251,1624,6.4960,0.892069
SOH,252,1624,6.4960,0.891355
SOH,253,1624,6.4960,0.875125
SOH,254,1624,6.4960,0.874847
SOH,255,1624,6.4960,0.869512
SOH,256,1624,6.4960,0.858707
SOH,257,1624,6.4960,0.853081
SOH,258,1624,6.4960,0.849725
SOH,259,1624,6.4960,0.839047
SOH,260,1624,6.4960,0.839474
SOH,261,1624,6.4960,0.828731
SOH,262,1624,6.4960,0.828928
SOH,263,1624,6.4960,0.826600
SOH,264,1624,6.4960,0.809173
SOH,265,1624,6.4960,0.816641
SOH,266,1624,6.4960,0.801672
SOH,267,1624,6.4960,0.802577
SOH,268,1624,6.4960,0.781388
SOH,269,1624,6.4960,0.768368
SOH,270,1624,6.4960,0.776942
SOH,271,1624,6.4960,0.776346
SOH,272,1624,6.4960,0.765949
SOH,273,1624,6.4960,0.762747
SOH,274,1624,6.4960,0.759460
SOH,275,1624,6.4960,0.760028
SOH,276,1624,6.4960,0.745214
SOH,277,1624,6.4960,0.724195
SOH,278,1624,6.4960,0.737477
SOH,279,1624,6.4960,0.722195
SOH,280,1624,6.4960,0.700574
SOH,281,1624,6.4960,0.701851
