cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
EKF_P,0.8169,0.8675,10.0,1195,0,560,1.0388286113739014,1.0091490745544434,0.0,0.19914060831069946,4.78
REFF,0.8964,0.8227,2.0,733,0,560,0.9629023671150208,0.9852324724197388,0.022963954135775566,0.0,2.932
TRIM,0.8964,0.8227,2.0,1629,0,560,0.9629023671150208,0.9852324724197388,0.0,0.0,6.516
SOLVE,0.8964,0.8227,2.0,10406,17,560,0.9629023671150208,0.9852324724197388,0.0,-48.33266830444336,41.624
FULL,0.8964,0.8227,2.0,12008,17,560,0.9629023671150208,0.9852324724197388,0.0,-48.33266830444336,48.032
FEAT,0.8964,0.8227,2.0,3291,0,560,0.9629023671150208,0.9852324724197388,0.0,0.0,13.164
FEAT_A8,0.8964,0.8227,2.0,1496,0,560,0.9629023671150208,0.9852324724197388,0.0,0.0,5.984
EKF,0.8964,0.8227,2.0,1739,0,560,0.9629023671150208,0.9852324724197388,0.0,0.18389888107776642,6.956
EKF_P,0.8964,0.8227,2.0,1195,0,560,0.9629023671150208,0.9852324724197388,0.0,0.18482480943202972,4.78
REFF,0.7686,0.9036,10.0,775,0,560,1.222535252571106,1.0666513442993164,0.021161101758480072,0.0,3.1
TRIM,0.7686,0.9036,10.0,1650,0,560,1.222535252571106,1.0666513442993164,0.0,0.0,6.6
SOLVE,0.7686,0.9036,10.0,11606,18,560,1.222535252571106,1.0666513442993164,0.0,-72.76315307617188,46.424
FULL,0.7686,0.9036,10.0,13222,18,560,1.222535252571106,1.0666513442993164,0.0,-72.76315307617188,52.888
FEAT,0.7686,0.9036,10.0,3289,0,560,1.222535252571106,1.0666513442993164,0.0,0.0,13.156
FEAT_A8,0.7686,0.9036,10.0,1483,0,560,1.222535252571106,1.0666513442993164,0.0,0.0,5.932
EKF,0.7686,0.9036,10.0,1765,0,560,1.222535252571106,1.0666513442993164,0.0,0.19310693442821503,7.06
EKF_P,0.7686,0.9036,10.0,1214,0,560,1.222535252571106,1.0666513442993164,0.0,0.19403286278247833,4.856
REFF,0.848,0.9221,10.0,799,0,560,1.2251601219177246,1.067525863647461,0.020854691043496132,0.0,3.196
TRIM,0.848,0.9221,10.0,1643,0,560,1.2251601219177246,1.067525863647461,0.0,0.0,6.572
SOLVE,0.848,0.9221,10.0,11608,17,560,1.2251601219177246,1.067525863647461,0.0,-70.94046783447266,46.432
FULL,0.848,0.9221,10.0,13224,17,560,1.2251601219177246,1.067525863647461,0.0,-70.94046783447266,52.896
FEAT,0.848,0.9221,10.0,3336,0,560,1.2251601219177246,1.067525863647461,0.0,0.0,13.344
FEAT_A8,0.848,0.9221,10.0,1513,0,560,1.2251601219177246,1.067525863647461,0.0,0.0,6.052
EKF,0.848,0.9221,10.0,1794,0,560,1.2251601219177246,1.067525863647461,0.0,0.20044589042663574,7.176
EKF_P,0.848,0.9221,10.0,1244,0,560,1.2251601219177246,1.067525863647461,0.0,0.20137181878089905,4.976
REFF,0.2989,0.9041,2.0,733,0,560,0.9747788310050964,0.9890647530555725,0.01361616887152195,0.0,2.932
TRIM,0.2989,0.9041,2.0,1629,0,560,0.9747788310050964,0.9890647530555725,0.0,0.0,6.516
SOLVE,0.2989,0.9041,2.0,10970,18,560,0.9747788310050964,0.9890647530555725,0.0,-91.48917388916016,43.88
FULL,0.2989,0.9041,2.0,12554,18,560,0.9747788310050964,0.9890647530555725,0.0,-91.48917388916016,50.216
FEAT,0.2989,0.9041,2.0,3297,0,560,0.9747788310050964,0.9890647530555725,0.0,0.0,13.188
FEAT_A8,0.2989,0.9041,2.0,1477,0,560,0.9747788310050964,0.9890647530555725,0.0,0.0,5.908
EKF,0.2989,0.9041,2.0,1739,0,560,0.9747788310050964,0.9890647530555725,0.0,0.20453132688999176,6.956
EKF_P,0.2989,0.9041,2.0,1195,0,560,0.9747788310050964,0.9890647530555725,0.0,0.20545725524425507,4.78
REFF,0.3169,0.841,10.0,805,0,560,1.0480427742004395,1.0119858980178833,0.026892421767115593,0.0,3.22
TRIM,0.3169,0.841,10.0,1627,0,560,1.0480427742004395,1.0119858980178833,0.0,0.0,6.508
SOLVE,0.3169,0.841,10.0,11012,17,560,1.0480427742004395,1.0119858980178833,0.0,-47.88086700439453,44.048
FULL,0.3169,0.841,10.0,12607,17,560,1.0480427742004395,1.0119858980178833,0.0,-47.88086700439453,50.428
FEAT,0.3169,0.841,10.0,3326,0,560,1.0480427742004395,1.0119858980178833,0.0,0.0,13.304
FEAT_A8,0.3169,0.841,10.0,1507,0,560,1.0480427742004395,1.0119858980178833,0.0,0.0,6.028
EKF,0.3169,0.841,10.0,1788,0,560,1.0480427742004395,1.0119858980178833,0.0,0.2158275693655014,7.152
EKF_P,0.3169,0.841,10.0,1231,0,560,1.0480427742004395,1.0119858980178833,0.0,0.2167534977197647,4.924
REFF,0.6048,0.7946,10.0,780,0,560,1.1567636728286743,1.0454751253128052,0.02998269349336624,0.0,3.12
TRIM,0.6048,0.7946,10.0,1643,0,560,1.1567636728286743,1.0454751253128052,0.0,0.0,6.572
SOLVE,0.6048,0.7946,10.0,11252,17,560,1.1567636728286743,1.0454751253128052,0.0,-42.00897979736328,45.008
FULL,0.6048,0.7946,10.0,12881,17,560,1.1567636728286743,1.0454751253128052,0.0,-42.00897979736328,51.524
FEAT,0.6048,0.7946,10.0,3346,0,560,1.1567636728286743,1.0454751253128052,0.0,0.0,13.384
FEAT_A8,0.6048,0.7946,10.0,1539,0,560,1.1567636728286743,1.0454751253128052,0.0,0.0,6.156
EKF,0.6048,0.7946,10.0,1777,0,560,1.1567636728286743,1.0454751253128052,0.0,0.2154937982559204,7.108
EKF_P,0.6048,0.7946,10.0,1214,0,560,1.1567636728286743,1.0454751253128052,0.0,0.21641972661018372,4.856
REFF,0.5664,0.7705,2.0,757,0,560,0.9751728177070618,0.9891911149024963,0.02579573169350624,0.0,3.028
TRIM,0.5664,0.7705,2.0,1629,0,560,0.9751728177070618,0.9891911149024963,0.0,0.0,6.516
SOLVE,0.5664,0.7705,2.0,10800,17,560,0.9751728177070618,0.9891911149024963,0.0,-64.56304168701172,43.2
FULL,0.5664,0.7705,2.0,12390,17,560,0.9751728177070618,0.9891911149024963,0.0,-64.56304168701172,49.56
FEAT,0.5664,0.7705,2.0,3346,0,560,0.9751728177070618,0.9891911149024963,0.0,0.0,13.384
FEAT_A8,0.5664,0.7705,2.0,1530,0,560,0.9751728177070618,0.9891911149024963,0.0,0.0,6.12
EKF,0.5664,0.7705,2.0,1811,0,560,0.9751728177070618,0.9891911149024963,0.0,0.23858685791492462,7.244
EKF_P,0.5664,0.7705,2.0,1229,0,560,0.9751728177070618,0.9891911149024963,0.0,0.23951278626918793,4.916
REFF,0.2045,0.9277,10.0,799,0,560,1.0989580154418945,1.0275921821594238,0.022599447518587112,0.0,3.196
TRIM,0.2045,0.9277,10.0,1661,0,560,1.0989580154418945,1.0275921821594238,0.0,0.0,6.644
SOLVE,0.2045,0.9277,10.0,11180,17,560,1.0989580154418945,1.0275921821594238,0.0,-65.22146606445312,44.72
FULL,0.2045,0.9277,10.0,12833,17,560,1.0989580154418945,1.0275921821594238,0.0,-65.22146606445312,51.332
FEAT,0.2045,0.9277,10.0,3321,0,560,1.0989580154418945,1.0275921821594238,0.0,0.0,13.284
FEAT_A8,0.2045,0.9277,10.0,1519,0,560,1.0989580154418945,1.0275921821594238,0.0,0.0,6.076
EKF,0.2045,0.9277,10.0,1807,0,560,1.0989580154418945,1.0275921821594238,0.0,0.24305211007595062,7.228
EKF_P,0.2045,0.9277,10.0,1238,0,560,1.0989580154418945,1.0275921821594238,0.0,0.24397803843021393,4.952
REFF,0.6129,0.8235,2.0,738,0,560,1.1004935503005981,1.028063178062439,0.02061443217098713,0.0,2.952
TRIM,0.6129,0.8235,2.0,1643,0,560,1.1004935503005981,1.028063178062439,0.0,0.0,6.572
SOLVE,0.6129,0.8235,2.0,10403,17,560,1.1004935503005981,1.028063178062439,0.0,-49.14875411987305,41.612
FULL,0.6129,0.8235,2.0,12039,17,560,1.1004935503005981,1.028063178062439,0.0,-49.14875411987305,48.156
FEAT,0.6129,0.8235,2.0,3329,0,560,1.1004935503005981,1.028063178062439,0.0,0.0,13.316
FEAT_A8,0.6129,0.8235,2.0,1513,0,560,1.1004935503005981,1.028063178062439,0.0,0.0,6.052
EKF,0.6129,0.8235,2.0,1777,0,560,1.1004935503005981,1.028063178062439,0.0,0.23879975080490112,7.108
EKF_P,0.6129,0.8235,2.0,1208,0,560,1.1004935503005981,1.028063178062439,0.0,0.23972567915916443,4.832
