direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,ffrls,oracle,6,490,3,43.28,47.64,35.03,BOOST,0.4552,0.4552,0.6396,0.4552,1.575,38.13,51.67
discharge,2.0,ffrls,oracle,4,140,2,49.02,45.73,38.95,BOOST,0.4014,0.4014,0.6585,0.4014,4.428,39.05,64.42
charge,10.0,ffrls,oracle,6,2461,12,49.06,48.78,44.94,BOOST,0.4762,0.4762,0.5668,0.4762,0.789,46.68,51.61
charge,2.0,ffrls,oracle,6,2082,9,49.35,48.52,46.12,BOOST,0.4799,0.4799,0.5727,0.4799,0.753,47.29,51.91
