direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,gru,oracle,6,490,2,69.54,69.10,61.79,BOOST_REST,0.6390,0.6390,0.6631,0.6390,1.279,67.13,71.14
discharge,2.0,gru,oracle,4,140,4,59.03,55.55,52.68,BOOST_NEGPULSE_1S,0.4201,0.4201,0.4899,0.4201,6.419,53.04,68.28
charge,10.0,gru,oracle,6,2461,1,59.89,59.75,56.54,BOOST_REST,0.5566,0.5566,0.5640,0.5566,0.193,58.03,61.58
charge,2.0,gru,oracle,6,2082,1,58.31,58.07,52.83,BOOST_REST,0.5380,0.5380,0.5397,0.5380,0.228,55.27,60.98
