direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,a3,est,6,496,1,67.43,66.60,56.36,BOOST_REST,0.6556,0.6556,0.6785,0.6556,0.953,64.06,69.28
discharge,2.0,a3,est,4,138,1,60.71,61.24,58.13,BOOST,0.4905,0.4905,0.4994,0.4905,3.391,58.86,63.50
charge,10.0,a3,est,6,2459,2,54.83,53.87,47.80,BOOST_REST,0.5186,0.5186,0.5795,0.5186,0.256,50.77,59.40
charge,2.0,a3,est,6,2080,3,56.89,56.41,49.06,BOOST_REST,0.5388,0.5388,0.5593,0.5388,0.372,52.68,60.79
