cell,n_runs,undisturbed_pct,mean_6_pct,worst_of_6_pct,worst_perturbation
BOOST,6,1.382,1.998,3.931,current offset -0.10 A
BOOST_NEGPULSE,6,1.663,2.299,3.818,current offset +0.10 A
BOOST_NEGPULSE_1S,6,1.934,2.491,4.603,current offset -0.10 A
BOOST_REST,6,2.202,2.751,4.560,current offset +0.10 A
CC,6,1.563,2.131,4.070,current offset -0.10 A
CC_CELL2,6,1.695,2.279,3.889,current offset -0.10 A
