direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,gru,est,6,492,1,67.50,67.14,59.14,BOOST_REST,0.6235,0.6235,0.6267,0.6235,0.961,65.74,68.71
discharge,2.0,gru,est,4,138,2,61.44,62.30,56.90,BOOST_NEGPULSE_1S,0.4528,0.4528,0.4899,0.4528,4.492,57.55,67.32
charge,10.0,gru,est,6,2459,1,57.99,57.43,53.67,BOOST_REST,0.5292,0.5292,0.5556,0.5292,0.193,55.88,60.26
charge,2.0,gru,est,6,2080,2,59.40,58.68,53.60,BOOST_REST,0.5377,0.5377,0.5491,0.5377,0.302,56.70,61.76
