direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,a3,oracle,6,491,1,70.03,68.71,58.92,BOOST_REST,0.6788,0.6788,0.6996,0.6788,0.962,65.53,72.74
discharge,2.0,a3,oracle,4,140,3,58.97,57.84,54.43,BOOST,0.4624,0.4624,0.4995,0.4624,5.445,55.05,64.11
charge,10.0,a3,oracle,6,2461,1,57.97,57.84,52.06,BOOST_REST,0.5668,0.5668,0.5722,0.5668,0.193,54.58,60.98
charge,2.0,a3,oracle,6,2082,2,56.17,55.84,48.06,BOOST_REST,0.5446,0.5446,0.5497,0.5446,0.302,51.72,60.23
