direction,tau_s,method,soh_arm,n_cells,n_rows,exceed,usable_mean_pct,usable_median_pct,usable_worst_pct,worst_cell,lambda_min,lambda_median,lambda_max,lambda_pooled_shipped,exceed_ub95_pct,usable_boot_lo_pct,usable_boot_hi_pct
discharge,10.0,shrink,est,6,496,2,65.30,63.08,58.67,BOOST_REST,0.7162,0.7162,0.7378,0.7162,1.264,62.07,68.57
discharge,2.0,shrink,est,4,138,1,61.60,61.57,60.37,BOOST,0.5146,0.5146,0.5159,0.5146,3.391,60.75,63.28
charge,10.0,shrink,est,6,2459,2,55.62,54.59,48.80,BOOST_REST,0.5551,0.5551,0.6137,0.5551,0.256,51.71,59.98
charge,2.0,shrink,est,6,2080,3,56.27,55.79,48.53,BOOST_REST,0.5618,0.5618,0.5938,0.5618,0.372,52.11,60.34
