fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,393,0.9463,25,0.500,99.49,98.39,98.05,1.0386,1.0093,current
BOOST,discharge,393,0.9463,10,0.500,94.63,94.43,93.95,1.0386,1.0093,current
BOOST,discharge,393,0.9463,25,0.400,96.88,96.00,95.61,1.0386,1.0093,current
BOOST,discharge,393,0.9463,10,0.400,91.93,91.55,91.06,1.0386,1.0093,current
BOOST,discharge,393,0.9463,25,0.300,94.53,92.14,91.75,1.0386,1.0093,current
BOOST,discharge,393,0.9463,10,0.300,88.63,84.47,83.86,1.0386,1.0093,current
BOOST,discharge,393,0.9463,25,0.200,90.82,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,10,0.200,78.71,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,25,0.150,85.50,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,10,0.150,55.10,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,25,0.100,64.18,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,10,0.100,31.60,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,25,0.050,36.37,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,10,0.050,16.88,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,25,0.020,21.86,,,1.0386,1.0093,out-of-hull
BOOST,discharge,393,0.9463,25,0.005,15.29,,,1.0386,1.0093,out-of-hull
BOOST,discharge,522,0.9340,25,1.000,109.95,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,10,1.000,103.81,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.950,109.40,109.62,109.08,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.950,103.78,104.79,104.00,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.900,108.65,109.13,108.59,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.900,103.17,104.69,103.96,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.800,106.47,106.25,105.66,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.800,101.30,101.76,101.07,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.700,104.43,104.15,103.61,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.700,99.44,100.05,99.37,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.600,102.07,101.03,100.49,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.600,96.71,96.97,96.29,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.500,98.82,98.14,97.61,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.500,93.54,94.09,93.46,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.400,96.16,95.56,95.07,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.400,90.73,91.06,90.36,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.300,93.64,91.31,90.72,1.0519,1.0134,current
BOOST,discharge,522,0.9340,10,0.300,87.02,83.30,82.47,1.0519,1.0134,current
BOOST,discharge,522,0.9340,25,0.200,89.02,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,10,0.200,72.97,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.150,82.21,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,10,0.150,48.46,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.100,55.46,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,10,0.100,28.15,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.050,31.19,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,10,0.050,15.57,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.020,19.94,,,1.0519,1.0134,out-of-hull
BOOST,discharge,522,0.9340,25,0.005,14.18,,,1.0519,1.0134,out-of-hull
BOOST,discharge,641,0.9264,25,1.000,109.18,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,10,1.000,102.13,,,1.0626,1.0167,out-of-hull
BOOST,discharge,641,0.9264,25,0.950,108.69,109.13,108.45,1.0626,1.0167,current
BOOST,discharge,641,0.9264,10,0.950,102.34,104.15,103.17,1.0626,1.0167,current
