cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.761,3.9246,300.0,12,9.7636,0.001,0.2134,4.8167,8.2762,1.17
RPC_CC,1,1.0,2.9103,0.6091,discharge,3,-29.742,3.8308,300.0,12,9.2966,0.001,0.2134,5.2277,9.0547,0.923
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.703,3.7383,300.1,12,9.2439,0.001,0.2134,5.818,8.528,0.847
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.694,3.6554,300.0,12,9.2205,0.001,0.2134,5.9807,8.7874,0.578
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.666,3.5945,300.0,12,9.2568,0.001,0.2134,6.497,9.3301,0.474
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.677,3.5115,300.0,12,9.5065,0.001,0.2134,5.8927,8.0319,0.72
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.793,4.1852,1451.0,12,10.3569,0.001,0.2134,4.7095,5.1242,0.875
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.84,4.1044,300.0,12,9.8931,0.001,0.2134,3.3483,5.7767,0.994
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.806,4.0824,300.0,12,9.7247,0.001,0.2134,4.2681,8.528,0.836
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.722,4.0316,300.0,12,9.8528,0.001,0.2134,5.9443,8.7874,0.976
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.764,3.9244,300.0,12,9.7621,0.001,0.2134,4.8178,8.2762,1.159
RPC_CC,1,1.0,2.9103,0.6091,discharge,3,-29.743,3.8309,300.0,12,9.3062,0.001,0.2134,5.2274,9.0547,0.952
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.705,3.7382,300.0,12,9.2483,0.001,0.2134,5.8186,8.528,0.772
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.696,3.6553,300.0,12,9.2198,0.001,0.2134,5.9909,8.7874,0.55
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.667,3.5944,300.0,12,9.2696,0.001,0.2134,6.6159,9.6139,0.478
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.681,3.511,300.0,12,9.5066,0.001,0.2134,5.8922,8.0319,0.766
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.794,4.1853,1452.4,12,10.3652,0.001,0.2134,4.7101,5.1242,0.903
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.84,4.1044,300.0,12,9.8951,0.001,0.2134,3.3452,5.7767,1.02
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.806,4.0823,300.0,12,9.7192,0.001,0.2134,4.273,8.528,0.787
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.678,4.0316,300.0,11,9.8669,0.001,0.2134,5.9563,8.7874,1.06
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.762,3.9243,300.0,12,9.7589,0.001,0.2134,4.8217,8.2762,1.161
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.743,3.8309,300.0,12,9.3138,0.001,0.2134,5.317,9.3301,0.955
