cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,5,0.99952,2.97197,0.6032,discharge,2,-23.775,3.8527,680.9,101,8.9853,1.0416,0.5919,5.2973,8.216,0.3303
CC,5,0.99952,2.97197,0.6035,charge,2,17.829,3.8581,280.0,101,7.1644,2.0288,0.0734,4.5242,7.9085,0.7625
CC,5,0.99952,2.97197,0.6031,discharge,3,-34.173,3.8534,801.3,101,8.8766,0.936,0.52,5.1325,9.1206,0.5171
CC,5,0.99952,2.97197,0.6035,charge,3,29.716,3.8601,384.8,101,4.5676,4.1578,0.139,3.1351,3.9993,2.9096
CC,5,0.99952,2.97197,0.5042,discharge,0,-2.971,3.7295,5610.6,101,8.9935,0.5432,0.7361,8.1201,12.075,0.1121
CC,5,0.99952,2.97197,0.5043,charge,0,1.484,3.7305,70.4,101,8.9394,0.5698,0.7523,6.9231,11.2559,0.0837
CC,5,0.99952,2.97197,0.5042,discharge,1,-11.89,3.7295,635.4,101,8.8799,0.6045,0.6227,6.2101,9.3128,0.1496
CC,5,0.99952,2.97197,0.5043,charge,1,5.942,3.7321,160.2,101,8.8202,0.6509,0.7176,5.8042,9.416,0.1416
CC,5,0.99952,2.97197,0.5041,discharge,2,-23.774,3.7296,680.9,101,8.8075,0.7178,0.6737,5.5447,9.5795,0.2638
CC,5,0.99952,2.97197,0.5044,charge,2,17.829,3.7339,280.1,101,8.6854,0.7947,0.6877,6.7791,14.9234,0.1966
CC,5,0.99952,2.97197,0.504,discharge,3,-34.175,3.7298,801.8,101,8.7438,0.6553,0.6087,5.246,9.4097,0.3105
CC,5,0.99952,2.97197,0.5044,charge,3,29.717,3.7354,385.0,101,5.8747,3.1519,0.1215,5.8094,10.839,1.1412
CC,5,0.99952,2.97197,0.4052,discharge,0,-2.974,3.6493,5616.1,101,8.9418,0.583,0.7613,8.2572,14.106,0.1264
CC,5,0.99952,2.97197,0.4052,charge,0,1.486,3.6505,70.5,101,8.7443,0.6175,0.8567,6.9086,12.4655,0.1238
