sheet,cycle,temp_C,SOC,cap_Ah,SOP_disch,SOP_disch_CCCV,SOP_char,SOP_char_CCCV
Test#1,389,10,0.9,,-102.9881,-102.9864,13.1645,13.1645
Test#1,389,25,0.8,,-106.5357,-106.5359,36.1633,36.1633
Test#1,389,10,0.8,,-101.2332,-101.2341,28.8666,28.8666
Test#1,389,25,0.7,,-104.5016,-104.5028,61.9495,61.9495
Test#1,389,10,0.7,,-99.4065,-99.4074,50.2525,50.2525
Test#1,389,25,0.6,,-101.9006,-101.9037,60.5983,60.5983
Test#1,389,10,0.6,,-96.7342,-96.7344,61.5707,61.5707
Test#1,389,25,0.5,,-98.7813,-98.7776,59.1965,59.1965
Test#1,389,10,0.5,,-93.8014,-93.7978,60.2689,60.2689
Test#1,389,25,0.4,,-96.258,-96.2582,57.9672,57.9672
Test#1,389,10,0.4,,-91.1533,-91.1561,59.0855,59.0855
Test#1,389,25,0.3,,-93.8607,-93.8596,57.0813,57.0813
Test#1,389,10,0.3,,-87.5248,-87.9481,58.2253,58.2253
Test#1,389,25,0.2,,-89.5998,-89.5981,56.0072,56.0072
Test#1,389,10,0.2,,-79.3914,-79.3895,57.2058,57.2058
Test#1,389,25,0.15,,-84.202,-83.7127,55.2469,55.2469
Test#1,389,10,0.15,,-56.3491,-56.3499,56.5621,56.5621
Test#1,389,25,0.1,,-65.6018,-57.9914,54.6145,54.6145
Test#1,389,10,0.1,,-34.3074,-31.7619,56.0588,56.0588
Test#1,389,25,0.05,,-39.5353,-29.3071,54.3614,54.3614
Test#1,389,10,0.05,,-19.136,-15.9093,55.6824,55.6824
Test#1,389,25,0.02,,-24.4611,-16.8474,53.8185,53.8185
Test#1,389,25,0.005,,-17.1031,-11.3416,52.9178,52.9178
Test#1,495,25,1.0,,-109.14,-109.13,,
Test#1,495,10,1.0,,-102.21,-101.69,,
Test#1,495,25,0.95,,-108.61,-108.61,12.397,12.397
Test#1,495,10,0.95,,-102.22,-101.84,8.2216,8.2216
Test#1,495,25,0.9,,-107.78,-107.78,18.381,18.381
Test#1,495,10,0.9,,-101.68,-101.39,12.001,12.001
Test#1,495,25,0.8,,-105.69,-105.68,36.066,36.066
Test#1,495,10,0.8,,-99.694,-99.69,28.897,28.897
Test#1,495,25,0.7,,-103.69,-103.69,62.034,62.034
Test#1,495,10,0.7,,-97.842,-97.839,48.681,48.681
Test#1,495,25,0.6,,-100.97,-100.97,60.622,60.622
Test#1,495,10,0.6,,-95.113,-95.109,61.699,61.699
Test#1,495,25,0.5,,-97.873,-97.869,59.261,59.261
Test#1,495,10,0.5,,-92.191,-92.19,60.391,60.391
Test#1,495,25,0.4,,-95.35,-95.349,58.052,58.052
Test#1,495,10,0.4,,-89.437,-89.442,59.249,59.249
Test#1,495,25,0.3,,-92.723,-92.724,57.171,57.171
Test#1,495,10,0.3,,-85.06,-85.491,58.394,58.394
Test#1,495,25,0.2,,-87.419,-87.153,56.063,56.063
Test#1,495,10,0.2,,-66.704,-66.705,57.344,57.344
Test#1,495,25,0.15,,-79.827,-79.047,55.28,55.28
Test#1,495,10,0.15,,-42.848,-42.852,56.719,56.719
Test#1,495,25,0.1,,-54.824,-46.932,54.788,54.788
Test#1,495,10,0.1,,-27.049,-23.9,56.278,56.278
Test#1,495,25,0.05,,-31.824,-23.681,54.481,54.481
Test#1,495,10,0.05,,-15.639,-11.529,,
Test#1,495,25,0.02,,-18.894,-12.391,53.486,53.486
Test#1,495,25,0.005,,-10.9673,-7.0806,,
Test#1,610,25,1.0,,-108.09,-108.09,,
Test#1,610,10,1.0,,-100.65,-100.08,,
Test#1,610,25,0.95,,-107.62,-107.62,11.649,11.649
Test#1,610,10,0.95,,-100.7,-100.25,8.487,8.487
Test#1,610,25,0.9,,-106.81,-106.8,17.039,17.039
Test#1,610,10,0.9,,-100.24,-99.888,13.724,13.724
Test#1,610,25,0.8,,-104.83,-104.82,35.41,35.41
Test#1,610,10,0.8,,-98.254,-98.253,29.857,29.857
Test#1,610,25,0.7,,-102.86,-102.86,62.153,62.153
Test#1,610,10,0.7,,-96.395,-96.396,51.688,51.688
Test#1,610,25,0.6,,-100.08,-100.08,60.714,60.714
Test#1,610,10,0.6,,-93.672,-93.675,61.443,61.443
Test#1,610,25,0.5,,-97.014,-97.017,59.377,59.377
Test#1,610,10,0.5,,-90.796,-90.795,60.591,60.591
Test#1,610,25,0.4,,-94.474,-94.473,58.187,58.187
Test#1,610,10,0.4,,-87.94,-87.936,59.26,59.26
Test#1,610,25,0.3,,-91.643,-91.635,57.328,57.328
Test#1,610,10,0.3,,-82.876,-83.382,58.386,58.386
Test#1,610,25,0.2,,-85.284,-84.903,56.227,56.227
Test#1,610,10,0.2,,-57.873,-57.873,57.872,57.872
Test#1,610,25,0.15,,-76.966,-74.876,55.452,55.452
Test#1,610,10,0.15,,-37.886,-37.885,57.045,57.045
Test#1,610,25,0.1,,-50.047,-42.126,55.006,55.006
Test#1,610,10,0.1,,-24.392,-21.71,56.551,56.551
Test#1,610,25,0.05,,-29.229,-21.628,54.676,54.676
Test#1,610,10,0.05,,-14.782,-10.983,,
Test#1,610,25,0.02,,-16.703,-11.377,53.63,53.63
Test#1,728,25,1.0,,-106.9,-106.9,,
Test#1,728,10,1.0,,-99.263,-99.084,,
Test#1,728,25,0.95,,-106.46,-106.46,10.755,10.755
Test#1,728,10,0.95,,-99.252,-99.165,6.4786,6.4786
Test#1,728,25,0.9,,-105.69,-105.69,15.592,15.592
Test#1,728,10,0.9,,-98.831,-98.778,10.234,10.234
Test#1,728,25,0.8,,-103.82,-103.81,34.35,34.35
Test#1,728,10,0.8,,-97.04,-97.053,27.165,27.165
Test#1,728,25,0.7,,-101.84,-101.84,61.587,61.587
Test#1,728,10,0.7,,-94.888,-95.016,43.891,43.891
Test#1,728,25,0.6,,-99.011,-99.012,60.84,60.84
Test#1,728,10,0.6,,-91.882,-92.133,62.107,62.107
Test#1,728,25,0.5,,-95.998,-95.997,59.534,59.534
Test#1,728,10,0.5,,-88.894,-89.19,60.805,60.805
Test#1,728,25,0.4,,-93.418,-93.42,58.365,58.365
Test#1,728,10,0.4,,-85.755,-86.178,59.773,59.773
Test#1,728,25,0.3,,-90.33,-90.33,57.524,57.524
Test#1,728,10,0.3,,-80.059,-80.949,58.991,58.991
Test#1,728,25,0.2,,-82.868,-82.419,56.437,56.437
Test#1,728,10,0.2,,-50.451,-51.672,57.997,57.997
Test#1,728,25,0.15,,-70.827,-65.15,55.7,55.7
Test#1,728,10,0.15,,-33.614,-34.611,57.383,57.383
Test#1,728,25,0.1,,-46.329,-38.742,55.273,55.273
Test#1,728,10,0.1,,-21.705,-20.509,56.926,56.926
Test#1,728,25,0.05,,-27.937,-20.368,54.911,54.911
Test#1,728,10,0.05,,-14.365,-12.049,,
Test#1,728,25,0.02,,-16.428,-10.783,53.902,53.902
Test#1,841,25,1.0,,-105.74,-105.74,,
Test#1,841,10,1.0,,-97.746,-97.746,,
Test#1,841,25,0.95,,-105.33,-105.33,9.9181,9.9181
Test#1,841,10,0.95,,-97.765,-97.767,5.6411,5.6411
Test#1,841,25,0.9,,-104.64,-104.64,14.364,14.364
Test#1,841,10,0.9,,-97.373,-97.38,9.5421,9.5421
Test#1,841,25,0.8,,-102.84,-102.83,33.313,33.313
Test#1,841,10,0.8,,-95.574,-95.577,26.119,26.119
Test#1,841,25,0.7,,-100.84,-100.84,58.525,58.525
Test#1,841,10,0.7,,-93.326,-93.321,41.767,41.767
Test#1,841,25,0.6,,-97.976,-97.98,60.985,60.985
Test#1,841,10,0.6,,-90.279,-90.285,61.639,61.639
Test#1,841,25,0.5,,-95.015,-95.013,59.687,59.687
Test#1,841,10,0.5,,-87.282,-87.279,61.021,61.021
Test#1,841,25,0.4,,-92.384,-92.388,58.548,58.548
Test#1,841,10,0.4,,-83.85,-83.856,60.052,60.052
Test#1,841,25,0.3,,-89.02,-89.022,57.724,57.724
Test#1,841,10,0.3,,-76.73,-76.734,59.299,59.299
Test#1,841,25,0.2,,-80.69,-80.097,56.657,56.657
Test#1,841,10,0.2,,-43.25,-39.958,58.304,58.304
Test#1,841,25,0.15,,-65.154,-59.224,55.952,55.952
Test#1,841,10,0.15,,-28.837,-25.333,57.692,57.692
Test#1,841,25,0.1,,-42.725,-36.177,55.535,55.535
Test#1,841,10,0.1,,-19.839,-14.933,57.26,57.26
Test#1,841,25,0.05,,-26.379,-19.444,55.156,55.156
Test#1,841,25,0.02,,-15.762,-10.378,54.188,54.188
Test#1,961,25,1.0,,-104.5,-104.49,,
Test#1,961,10,1.0,,-95.672,-95.667,,
Test#1,961,25,0.95,,-104.07,-104.07,8.9013,8.9013
Test#1,961,10,0.95,,-95.421,-95.415,4.5301,4.5301
Test#1,961,25,0.9,,-103.45,-103.46,13.099,13.099
Test#1,961,10,0.9,,-94.943,-94.95,8.2012,8.2012
Test#1,961,25,0.8,,-101.68,-101.68,32.306,32.306
Test#1,961,10,0.8,,-93.528,-93.531,24.532,24.532
Test#1,961,25,0.7,,-99.595,-99.597,55.806,55.806
Test#1,961,10,0.7,,-91.19,-91.191,39.386,39.386
Test#1,961,25,0.6,,-96.656,-96.663,61.135,61.135
Test#1,961,10,0.6,,-88.101,-88.098,58.076,58.076
Test#1,961,25,0.5,,-93.719,-93.714,59.837,59.837
Test#1,961,10,0.5,,-84.989,-84.987,61.276,61.276
Test#1,961,25,0.4,,-90.992,-90.993,58.744,58.744
Test#1,961,10,0.4,,-81.134,-80.886,60.394,60.394
Test#1,961,25,0.3,,-87.13,-87.129,57.934,57.934
Test#1,961,10,0.3,,-64.785,-62.633,59.678,59.678
Test#1,961,25,0.2,,-76.565,-76.569,56.872,56.872
Test#1,961,10,0.2,,-35.011,-31.774,58.657,58.657
Test#1,961,25,0.15,,-56.738,-51.639,56.194,56.194
Test#1,961,10,0.15,,-22.573,-19.114,58.4,58.4
Test#1,961,25,0.1,,-37.343,-32.048,55.793,55.793
Test#1,961,10,0.1,,-15.469,-11.126,58.016,58.016
Test#1,961,25,0.05,,-23.312,-17.495,55.388,55.388
Test#1,961,10,0.05,,-8.8108,-5.3414,57.461,57.461
Test#1,961,25,0.02,,-13.792,-9.1467,54.916,54.916
Test#1,961,25,0.005,,-8.9902,-5.366,53.81,53.81
Test#1,1067,25,1.0,,-102.84,-102.84,,
Test#1,1067,10,1.0,,-93.688,-93.684,0.0529,0.0529
Test#1,1067,25,0.95,,-102.42,-102.42,7.619,7.619
Test#1,1067,10,0.95,,-93.552,-93.549,3.9283,3.9283
Test#1,1067,25,0.9,,-101.89,-101.89,11.63,11.63
Test#1,1067,10,0.9,,-93.166,-93.159,7.5298,7.5298
Test#1,1067,25,0.8,,-100.16,-100.16,30.105,30.105
Test#1,1067,10,0.8,,-91.806,-91.806,22.436,22.436
Test#1,1067,25,0.7,,-98.03,-98.025,51.113,51.113
Test#1,1067,10,0.7,,-89.562,-89.559,36.272,36.272
Test#1,1067,25,0.6,,-95.095,-95.097,61.465,61.465
Test#1,1067,10,0.6,,-86.634,-86.637,53.154,53.154
Test#1,1067,25,0.5,,-92.205,-92.202,60.174,60.174
Test#1,1067,10,0.5,,-83.576,-83.574,61.692,61.692
Test#1,1067,25,0.4,,-89.385,-89.391,59.126,59.126
Test#1,1067,10,0.4,,-79.289,-79.563,60.85,60.85
Test#1,1067,25,0.3,,-85.216,-85.218,58.358,58.358
Test#1,1067,10,0.3,,-61.96,-61.963,60.18,60.18
Test#1,1067,25,0.2,,-70.987,-70.983,57.406,57.406
Test#1,1067,10,0.2,,-35.42,-35.419,59.267,59.267
Test#1,1067,25,0.15,,-53.803,-50.246,56.776,56.776
Test#1,1067,10,0.15,,-23.351,-23.353,59.049,59.049
Test#1,1067,25,0.1,,-36.483,-32.5,56.269,56.269
Test#1,1067,10,0.1,,-16.36,-14.971,58.598,58.598
Test#1,1067,25,0.05,,-24.729,-19.93,55.948,55.948
Test#1,1067,10,0.05,,-10.795,-9.143,58.253,58.253
Test#1,1067,25,0.02,,-17.186,-12.802,56.033,56.033
Test#1,1067,10,0.02,,-7.348,-6.1975,57.949,57.949
Test#1,1067,25,0.005,,-13.662,-9.7268,55.465,55.465
Test#1,1067,10,0.005,,-5.6525,-4.9409,57.425,57.425
Test#1,1067,25,1.0,,-101.45,-101.45,,
Test#1,1067,10,1.0,,-92.072,-91.725,0.1048,0.1048
Test#1,1067,25,0.95,,-101.1,-101.09,6.8749,6.8749
Test#1,1067,10,0.95,,-92.031,-91.734,3.5326,3.5326
Test#1,1067,25,0.9,,-100.65,-100.64,11.088,11.088
Test#1,1067,10,0.9,,-91.654,-91.374,7.3409,7.3409
Test#1,1067,25,0.8,,-98.895,-98.898,29.96,29.96
Test#1,1067,10,0.8,,-90.258,-89.979,21.711,21.711
Test#1,1067,25,0.7,,-96.558,-96.552,50.648,50.648
Test#1,1067,10,0.7,,-87.615,-87.618,35.763,35.763
Test#1,1067,25,0.6,,-93.547,-93.543,61.533,61.533
Test#1,1067,10,0.6,,-84.653,-84.654,51.793,51.793
Test#1,1067,25,0.5,,-90.627,-90.627,60.228,60.228
Test#1,1067,10,0.5,,-81.347,-81.348,61.885,61.885
Test#1,1067,25,0.4,,-87.531,-87.537,59.254,59.254
Test#1,1067,10,0.4,,-76.254,-76.248,61.095,61.095
Test#1,1067,25,0.3,,-82.31,-82.314,58.473,58.473
Test#1,1067,10,0.3,,-50.646,-50.644,60.388,60.388
Test#1,1067,25,0.2,,-60.706,-57.495,57.422,57.422
Test#1,1067,10,0.2,,-28.306,-28.306,59.333,59.333
Test#1,1067,25,0.15,,-43.405,-40.2,56.811,56.811
Test#1,1067,10,0.15,,-19.552,-18.677,59.216,59.216
Test#1,1067,25,0.1,,-30.176,-26.062,56.441,56.441
Test#1,1067,10,0.1,,-13.474,-12.335,58.869,58.869
Test#1,1067,25,0.05,,-19.418,-14.693,56.005,56.005
Test#1,1067,10,0.05,,-7.8025,-7.3823,58.179,58.179
Test#1,1067,25,0.02,,-11.223,-7.549,55.034,55.034
Test#1,1067,10,0.02,,0.0,-4.5443,,
Test#1,1067,25,0.005,,-6.7981,-4.1473,54.083,54.083
Test#1,1067,10,0.005,,0.0,-3.2291,,
Test#1,1299,25,1.0,,-100.22,-100.22,0.2406,0.2406
Test#1,1299,10,1.0,,-90.613,-90.612,0.1666,0.1666
Test#1,1299,25,0.95,,-99.855,-99.849,6.3026,6.3026
Test#1,1299,10,0.95,,-90.53,-90.531,3.3425,3.3425
Test#1,1299,25,0.9,,-99.4,-99.399,10.712,10.712
Test#1,1299,10,0.9,,-90.111,-90.114,7.4094,7.4094
Test#1,1299,25,0.8,,-97.587,-97.587,29.457,29.457
Test#1,1299,10,0.8,,-88.539,-88.536,20.664,20.664
Test#1,1299,25,0.7,,-95.092,-95.097,48.909,48.909
Test#1,1299,10,0.7,,-85.813,-85.809,34.633,34.633
Test#1,1299,25,0.6,,-91.952,-91.95,61.639,61.639
Test#1,1299,10,0.6,,-82.553,-82.557,50.706,50.706
Test#1,1299,25,0.5,,-88.939,-88.938,60.34,60.34
Test#1,1299,10,0.5,,-78.963,-78.765,62.12,62.12
Test#1,1299,25,0.4,,-85.525,-85.524,59.437,59.437
Test#1,1299,10,0.4,,-64.029,-64.031,61.425,61.425
Test#1,1299,25,0.3,,-79.769,-79.476,58.688,58.688
Test#1,1299,10,0.3,,-42.288,-40.865,60.766,60.766
Test#1,1299,25,0.2,,-53.374,-50.547,57.646,57.646
Test#1,1299,10,0.2,,-23.877,-21.598,59.687,59.687
Test#1,1299,25,0.15,,-38.257,-35.444,57.041,57.041
Test#1,1299,10,0.15,,-16.636,-13.303,59.614,59.614
Test#1,1299,25,0.1,,-26.899,-23.363,56.699,56.699
Test#1,1299,10,0.1,,-11.838,-8.2145,59.316,59.316
Test#1,1299,25,0.05,,-17.391,-13.503,56.248,56.248
Test#1,1299,10,0.05,,-6.9211,-4.0389,,
Test#1,1299,25,0.02,,-10.012,-7.1227,55.173,55.173
Test#1,1299,25,0.005,,-5.9672,-4.0469,54.128,54.128
Test#1,1428,25,1.0,,-98.41,-98.409,0.4068,0.4068
Test#1,1428,10,1.0,,-88.671,-88.671,0.1974,0.1974
Test#1,1428,25,0.95,,-98.143,-98.136,5.3311,5.3311
Test#1,1428,10,0.95,,-88.677,-88.674,3.0048,3.0048
Test#1,1428,25,0.9,,-97.751,-97.749,9.7859,9.7859
Test#1,1428,10,0.9,,-88.282,-88.281,6.9712,6.9712
Test#1,1428,25,0.8,,-95.949,-95.952,27.044,27.044
Test#1,1428,10,0.8,,-86.659,-86.661,18.702,18.702
Test#1,1428,25,0.7,,-93.378,-93.381,44.841,44.841
Test#1,1428,10,0.7,,-83.953,-83.952,31.624,31.624
Test#1,1428,25,0.6,,-90.351,-90.345,62.025,62.025
Test#1,1428,10,0.6,,-80.956,-80.772,45.982,45.982
Test#1,1428,25,0.5,,-87.419,-87.42,60.761,60.761
Test#1,1428,10,0.5,,-76.904,-76.908,57.151,57.151
Test#1,1428,25,0.4,,-84.009,-84.003,59.906,59.906
Test#1,1428,10,0.4,,-59.253,-59.255,62.024,62.024
Test#1,1428,25,0.3,,-78.2,-78.192,59.199,59.199
Test#1,1428,10,0.3,,-40.374,-39.184,61.408,61.408
Test#1,1428,25,0.2,,-53.245,-51.279,58.245,58.245
Test#1,1428,10,0.2,,-24.312,-22.399,60.451,60.451
Test#1,1428,25,0.15,,-39.625,-37.578,57.668,57.668
Test#1,1428,10,0.15,,-17.534,-14.592,60.399,60.399
Test#1,1428,25,0.1,,-28.735,-25.858,57.281,57.281
Test#1,1428,10,0.1,,-13.006,-9.6901,60.074,60.074
Test#1,1428,25,0.05,,-20.304,-16.757,56.988,56.988
Test#1,1428,10,0.05,,-9.1529,-5.8122,59.75,59.75
Test#1,1428,25,0.02,,-14.047,-10.827,56.697,56.697
Test#1,1428,10,0.02,,-5.9801,-3.5602,59.35,59.35
Test#1,1428,25,0.005,,-11.033,-8.1913,56.22,56.22
Test#1,1428,10,0.005,,-4.6223,-2.5361,58.709,58.709
Test#1,1541,25,1.0,,-96.97,-96.969,0.4524,0.4524
Test#1,1541,10,1.0,,-86.919,-86.919,0.2074,0.2074
Test#1,1541,25,0.95,,-96.754,-96.753,4.8646,4.8646
Test#1,1541,10,0.95,,-87.0,-87.0,2.8951,2.8951
Test#1,1541,25,0.9,,-96.384,-96.387,9.4616,9.4616
Test#1,1541,10,0.9,,-86.604,-86.604,6.9504,6.9504
Test#1,1541,25,0.8,,-94.5,-94.497,26.043,26.043
Test#1,1541,10,0.8,,-84.927,-84.927,17.913,17.913
Test#1,1541,25,0.7,,-91.766,-91.77,43.314,43.314
Test#1,1541,10,0.7,,-82.128,-82.128,30.578,30.578
Test#1,1541,25,0.6,,-88.7,-88.701,62.187,62.187
Test#1,1541,10,0.6,,-79.028,-78.843,43.696,43.696
Test#1,1541,25,0.5,,-85.736,-85.734,60.975,60.975
Test#1,1541,10,0.5,,-70.364,-70.364,53.009,53.009
Test#1,1541,25,0.4,,-82.151,-82.146,60.168,60.168
Test#1,1541,10,0.4,,-52.794,-52.791,60.124,60.124
Test#1,1541,25,0.3,,-75.611,-75.614,59.483,59.483
Test#1,1541,10,0.3,,-36.238,-35.095,61.825,61.825
Test#1,1541,25,0.2,,-49.198,-47.602,58.513,58.513
Test#1,1541,10,0.2,,-23.137,-20.627,60.856,60.856
Test#1,1541,25,0.15,,-37.009,-35.214,57.97,57.97
Test#1,1541,10,0.15,,-16.328,-13.558,60.87,60.87
Test#1,1541,25,0.1,,-27.312,-24.763,57.638,57.638
Test#1,1541,10,0.1,,-12.269,-9.1451,60.603,60.603
Test#1,1541,25,0.05,,-19.262,-16.151,57.334,57.334
Test#1,1541,10,0.05,,-8.6047,-5.4856,60.223,60.223
Test#1,1541,25,0.02,,-13.101,-10.326,56.948,56.948
Test#1,1541,10,0.02,,-5.5136,-3.2974,59.636,59.636
Test#1,1541,25,0.005,,-10.144,-7.7191,56.419,56.419
Test#1,1541,10,0.005,,,-2.3008,,
Test#1,1656,25,1.0,,-95.422,-95.418,0.499,0.499
Test#1,1656,10,1.0,,-85.214,-85.218,0.2157,0.2157
Test#1,1656,25,0.95,,-95.287,-95.286,4.4305,4.4305
Test#1,1656,10,0.95,,-85.4,-85.401,2.8062,2.8062
Test#1,1656,25,0.9,,-94.954,-94.953,9.1682,9.1682
Test#1,1656,10,0.9,,-85.023,-85.023,6.8203,6.8203
