cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,72,0.99089,0.84,4.07131,4.06241,4.08022,17.81
CC,72,0.99089,0.85,4.07506,4.06661,4.08351,16.9
CC,72,0.99089,0.86,4.07786,4.06961,4.08611,16.5
CC,72,0.99089,0.87,4.08035,4.0722,4.0885,16.3
CC,72,0.99089,0.88,4.08245,4.0743,4.09061,16.31
CC,72,0.99089,0.89,4.08496,4.0766,4.09331,16.7
CC,72,0.99089,0.9,4.08765,4.0793,4.096,16.7
CC,72,0.99089,0.91,4.09051,4.082,4.09902,17.02
CC,72,0.99089,0.92,4.09431,4.0856,4.10301,17.41
CC,72,0.99089,0.93,4.09851,4.0895,4.10752,18.01
CC,72,0.99089,0.94,4.10401,4.0947,4.11332,18.62
CC,72,0.99089,0.95,4.11112,4.1017,4.12053,18.83
CC,72,0.99089,0.96,4.12017,4.1103,4.13004,19.74
CC,72,0.99089,0.97,4.13243,4.12211,4.14275,20.64
CC,72,0.99089,0.98,4.14843,4.138,4.15886,20.86
CC,72,0.99089,0.99,4.16949,4.1589,4.18008,21.17
CC,145,0.98112,0.02,2.92935,2.855,3.00369,148.7
CC,145,0.98112,0.03,3.08983,3.03868,3.14097,102.29
CC,145,0.98112,0.04,3.18945,3.14838,3.23053,82.15
CC,145,0.98112,0.05,3.26274,3.22833,3.29716,68.82
CC,145,0.98112,0.06,3.31941,3.28965,3.34917,59.52
CC,145,0.98112,0.07,3.35516,3.32979,3.38052,50.73
CC,145,0.98112,0.08,3.37357,3.35345,3.39368,40.23
CC,145,0.98112,0.09,3.38608,3.36882,3.40334,34.52
CC,145,0.98112,0.1,3.3963,3.38082,3.41179,30.97
CC,145,0.98112,0.11,3.40514,3.39054,3.41974,29.2
CC,145,0.98112,0.12,3.41301,3.39877,3.42724,28.47
CC,145,0.98112,0.13,3.42073,3.40648,3.43499,28.51
CC,145,0.98112,0.14,3.42853,3.41358,3.44349,29.91
CC,145,0.98112,0.15,3.4371,3.42117,3.45304,31.86
CC,145,0.98112,0.16,3.4476,3.43146,3.46374,32.28
CC,145,0.98112,0.17,3.46012,3.44455,3.47569,31.13
CC,145,0.98112,0.18,3.47238,3.45706,3.48769,30.63
