holdout,cycle,SOH,SOC,T_C,I_meas_A,I_A0_A,I_A3_A,k_f,k_s,k_f_span
CC,136.0,0.9781,0.95,25.0,3.615,2.025,1.94,1.0649,0.9949,0.1175
CC,136.0,0.9781,0.95,10.0,2.713,1.259,1.207,1.0649,0.9949,0.1175
CC,136.0,0.9781,0.9,25.0,5.506,4.131,3.938,1.0649,0.9949,0.1175
CC,136.0,0.9781,0.9,10.0,3.949,2.537,2.422,1.0649,0.9949,0.1175
CC,136.0,0.9781,0.8,25.0,9.083,9.767,9.257,1.0649,0.9949,0.1175
CC,136.0,0.9781,0.8,10.0,7.104,7.252,6.856,1.0649,0.9949,0.1175
CC,273.0,0.9594,0.95,25.0,3.534,1.859,1.767,1.0767,0.9974,0.1514
CC,273.0,0.9594,0.95,10.0,2.619,1.159,1.102,1.0767,0.9974,0.1514
CC,273.0,0.9594,0.9,25.0,5.328,3.919,3.706,1.0767,0.9974,0.1514
CC,273.0,0.9594,0.9,10.0,3.769,2.421,2.292,1.0767,0.9974,0.1514
CC,273.0,0.9594,0.8,25.0,8.982,9.584,9.0,1.0767,0.9974,0.1514
CC,273.0,0.9594,0.8,10.0,7.048,7.124,6.669,1.0767,0.9974,0.1514
CC,393.0,0.9463,0.95,25.0,3.454,1.687,1.591,1.0888,0.998,0.2029
CC,393.0,0.9463,0.95,10.0,2.469,1.053,0.992,1.0888,0.998,0.2029
CC,393.0,0.9463,0.9,25.0,5.139,3.668,3.439,1.0888,0.998,0.2029
CC,393.0,0.9463,0.9,10.0,3.484,2.263,2.124,1.0888,0.998,0.2029
CC,393.0,0.9463,0.8,25.0,8.813,9.4,8.747,1.0888,0.998,0.2029
CC,393.0,0.9463,0.8,10.0,7.004,6.994,6.481,1.0888,0.998,0.2029
CC,522.0,0.934,0.95,25.0,3.284,1.534,1.429,1.1061,1.0022,0.2207
CC,522.0,0.934,0.95,10.0,2.277,0.957,0.891,1.1061,1.0022,0.2207
CC,522.0,0.934,0.9,25.0,4.83,3.45,3.195,1.1061,1.0022,0.2207
CC,522.0,0.934,0.9,10.0,3.203,2.133,1.977,1.1061,1.0022,0.2207
CC,522.0,0.934,0.8,25.0,8.681,9.219,8.466,1.1061,1.0022,0.2207
CC,522.0,0.934,0.8,10.0,6.912,6.863,6.269,1.1061,1.0022,0.2207
CC,641.0,0.9264,0.95,25.0,3.121,1.444,1.328,1.1241,1.0054,0.2098
CC,641.0,0.9264,0.95,10.0,2.044,0.9,0.828,1.1241,1.0054,0.2098
CC,641.0,0.9264,0.9,25.0,4.551,3.326,3.042,1.1241,1.0054,0.2098
CC,641.0,0.9264,0.9,10.0,2.912,2.063,1.888,1.1241,1.0054,0.2098
CC,641.0,0.9264,0.8,25.0,8.514,9.102,8.245,1.1241,1.0054,0.2098
CC,641.0,0.9264,0.8,10.0,6.762,6.777,6.097,1.1241,1.0054,0.2098
CC,762.0,0.9191,0.95,25.0,2.927,1.361,1.238,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.95,10.0,1.734,0.848,0.772,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.9,25.0,4.216,3.211,2.908,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.9,10.0,2.53,1.995,1.808,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.8,25.0,8.329,8.995,8.059,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.8,10.0,6.596,6.698,5.952,1.1388,1.0086,0.2036
CC,762.0,0.9191,0.7,10.0,10.586,11.461,10.35,1.1388,1.0086,0.2036
CC,867.0,0.9103,0.95,25.0,2.647,1.255,0.999,1.3349,1.0784,0.2993
CC,867.0,0.9103,0.95,10.0,1.476,0.783,0.623,1.3349,1.0784,0.2993
CC,867.0,0.9103,0.9,25.0,3.769,3.055,2.407,1.3349,1.0784,0.2993
CC,867.0,0.9103,0.9,10.0,2.26,1.893,1.494,1.3349,1.0784,0.2993
CC,867.0,0.9103,0.8,25.0,8.116,8.879,6.938,1.3349,1.0784,0.2993
