protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.9005,2,discharge,0,-2.971,0.99,10.0,9.9,4.0828,4.0396,14.5406,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,0,1.486,0.495,2.0,1.9,4.084,4.1003,10.969,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,0,1.486,0.495,10.0,9.9,4.084,4.104,13.459,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9005,2,discharge,1,-11.889,3.963,2.0,1.9,4.0826,3.9502,11.1363,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9005,2,discharge,1,-11.889,3.963,10.0,9.9,4.0826,3.9195,13.7186,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,1,5.942,1.981,2.0,2.0,4.0854,4.1488,10.6693,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,1,5.942,1.981,10.0,9.9,4.0854,4.1612,12.756,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9003,2,discharge,2,-23.778,7.926,2.0,2.0,4.0828,3.8241,10.8798,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9003,2,discharge,2,-23.778,7.926,10.0,9.9,4.0828,3.7743,12.9742,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,2,10.148,3.383,2.0,1.9,4.0867,4.2003,11.1943,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,2,10.148,3.383,10.0,9.9,4.0867,4.2002,11.1845,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9003,2,discharge,3,-34.174,11.391,2.0,2.0,4.0831,3.7206,10.6075,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9003,2,discharge,3,-34.174,11.391,10.0,9.9,4.0831,3.6503,12.6646,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,3,10.183,3.394,2.0,2.0,4.0876,4.2004,11.0773,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9006,2,charge,3,10.183,3.394,10.0,9.9,4.0876,4.2002,11.0576,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,discharge,0,-2.973,0.991,2.0,2.0,4.0276,3.9926,11.7718,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,discharge,0,-2.973,0.991,10.0,9.9,4.0276,3.9782,16.6151,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,0,1.484,0.495,2.0,2.0,4.0297,4.0463,11.1867,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.8015,3,charge,0,1.484,0.495,10.0,9.9,4.0297,4.0515,14.691,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
