holdout,cycle,SOH,SOC,T_C,I_meas_A,I_A0_A,I_A3_A,k_f,k_s,k_f_span
CC,522.0,0.934,0.2,10.0,-28.617,-29.86,-28.136,1.0893,1.021,0.1968
CC,641.0,0.9264,0.2,10.0,-24.7,-28.536,-26.445,1.1055,1.0255,0.1934
CC,986.0,0.8946,0.2,10.0,-16.47,-19.304,-17.592,1.167,1.0433,0.1222
CC,1100.0,0.8879,0.3,10.0,-27.162,-35.835,-31.778,1.1779,1.0463,0.1528
CC,1100.0,0.8879,0.2,10.0,-13.916,-18.304,-16.602,1.1779,1.0463,0.1528
CC,1220.0,0.865,0.3,10.0,-25.448,-30.678,-27.128,1.1955,1.0519,0.1736
CC,1220.0,0.865,0.2,10.0,-13.387,-17.13,-14.954,1.1955,1.0519,0.1736
CC,1333.0,0.8528,0.3,10.0,-24.925,-26.802,-23.965,1.2003,1.0547,0.3471
CC,1559.0,0.8371,0.3,10.0,-20.271,-24.316,-20.659,1.2463,1.0698,0.1913
CC,1685.0,0.818,0.4,10.0,-22.968,-33.242,-27.859,1.2539,1.0721,0.2273
CC,1685.0,0.818,0.3,10.0,-14.132,-19.995,-17.178,1.2539,1.0721,0.2273
CC_CELL2,522.0,0.934,0.2,10.0,-28.617,-28.648,-27.305,1.0662,1.0139,0.1505
CC_CELL2,522.0,0.934,0.15,10.0,-19.005,-20.029,-19.236,1.0662,1.0139,0.1505
CC_CELL2,641.0,0.9264,0.2,10.0,-24.7,-26.302,-24.39,1.0809,1.0176,0.1416
CC_CELL2,641.0,0.9264,0.15,10.0,-16.13,-18.894,-17.684,1.0809,1.0176,0.1416
CC_CELL2,867.0,0.9103,0.2,10.0,-16.757,-19.763,-17.827,1.209,1.0445,0.1644
CC_CELL2,986.0,0.8946,0.2,10.0,-16.47,-16.758,-15.777,1.1304,1.0312,0.0737
CC_CELL2,1100.0,0.8879,0.3,10.0,-27.162,-34.603,-31.5,1.1379,1.0326,0.1133
CC_CELL2,1100.0,0.8879,0.2,10.0,-13.916,-16.239,-15.222,1.1379,1.0326,0.1133
CC_CELL2,1220.0,0.865,0.3,10.0,-25.448,-29.368,-26.881,1.1384,1.0327,0.1381
CC_CELL2,1220.0,0.865,0.2,10.0,-13.387,-13.135,-12.077,1.1384,1.0327,0.1381
CC_CELL2,1333.0,0.8528,0.3,10.0,-24.925,-25.314,-23.248,1.1276,1.0299,0.3373
CC_CELL2,1559.0,0.8371,0.3,10.0,-20.271,-20.643,-18.659,1.1518,1.0357,0.1389
CC_CELL2,1685.0,0.818,0.4,10.0,-22.968,-30.699,-26.743,1.1477,1.0346,0.1746
CC_CELL2,1685.0,0.818,0.3,10.0,-14.132,-18.204,-16.457,1.1477,1.0346,0.1746
BOOST,522.0,0.934,0.2,10.0,-28.617,-29.722,-28.232,1.0774,1.0166,0.1882
BOOST,641.0,0.9264,0.2,10.0,-24.7,-28.453,-26.378,1.0941,1.0211,0.1885
BOOST,986.0,0.8946,0.2,10.0,-16.47,-18.229,-16.817,1.1553,1.038,0.1199
BOOST,1100.0,0.8879,0.3,10.0,-27.162,-35.791,-32.047,1.1632,1.0398,0.1544
BOOST,1100.0,0.8879,0.2,10.0,-13.916,-18.043,-16.516,1.1632,1.0398,0.1544
BOOST,1220.0,0.865,0.3,10.0,-25.448,-30.697,-27.522,1.1702,1.0445,0.1574
BOOST,1220.0,0.865,0.2,10.0,-13.387,-17.498,-15.391,1.1702,1.0445,0.1574
BOOST,1333.0,0.8528,0.3,10.0,-24.925,-26.564,-23.911,1.1905,1.0493,0.3563
BOOST,1559.0,0.8371,0.3,10.0,-20.271,-24.401,-20.884,1.2369,1.0635,0.1891
BOOST,1685.0,0.818,0.4,10.0,-22.968,-29.863,-25.563,1.2418,1.0652,0.2177
BOOST,1685.0,0.818,0.3,10.0,-14.132,-20.618,-17.658,1.2418,1.0652,0.2177
BOOST_REST,522.0,0.934,0.2,10.0,-28.617,-28.991,-27.962,1.0566,1.0098,0.1383
BOOST_REST,641.0,0.9264,0.2,10.0,-24.7,-27.674,-26.334,1.0726,1.0139,0.132
BOOST_REST,867.0,0.9103,0.2,10.0,-16.757,-18.852,-17.076,1.2272,1.0536,0.2001
BOOST_REST,986.0,0.8946,0.2,10.0,-16.47,-16.804,-15.874,1.1258,1.0272,0.0766
BOOST_REST,1100.0,0.8879,0.3,10.0,-27.162,-35.257,-32.22,1.133,1.0294,0.1116
BOOST_REST,1100.0,0.8879,0.2,10.0,-13.916,-16.386,-15.413,1.133,1.0294,0.1116
BOOST_REST,1220.0,0.865,0.3,10.0,-25.448,-29.646,-27.23,1.1307,1.0293,0.138
BOOST_REST,1220.0,0.865,0.2,10.0,-13.387,-15.552,-13.98,1.1307,1.0293,0.138
BOOST_REST,1333.0,0.8528,0.3,10.0,-24.925,-25.565,-23.607,1.127,1.0283,0.3289
BOOST_REST,1559.0,0.8371,0.3,10.0,-20.271,-21.715,-19.706,1.1573,1.0363,0.1512
BOOST_REST,1685.0,0.818,0.4,10.0,-22.968,-32.979,-28.866,1.1919,1.0468,0.2171
BOOST_REST,1685.0,0.818,0.3,10.0,-14.132,-18.659,-16.4,1.1919,1.0468,0.2171
BOOST_NEGPULSE,522.0,0.934,0.2,10.0,-28.617,-28.811,-27.587,1.0614,1.0137,0.1496
BOOST_NEGPULSE,522.0,0.934,0.15,10.0,-19.005,-20.033,-19.282,1.0614,1.0137,0.1496
BOOST_NEGPULSE,641.0,0.9264,0.2,10.0,-24.7,-26.981,-25.22,1.0783,1.0184,0.1365
