temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
10,10.62,10.0,0.8216,charge,4.998,20.2,4.0109,4.105,18.8287
10,10.82,10.0,0.8211,discharge,-29.833,20.2,4.0031,3.4604,18.1913
10,11.19,10.0,0.8238,charge,4.99,20.2,4.0178,4.1096,18.3983
10,10.76,10.0,0.776,charge,5.0,20.2,3.9578,4.0486,18.16
10,10.88,10.0,0.7756,discharge,-29.891,20.2,3.9496,3.4247,17.5605
10,11.34,10.0,0.7782,charge,4.987,20.2,3.9632,4.0516,17.7243
10,10.67,10.0,0.7304,charge,5.0,20.2,3.9119,4.005,18.6211
10,11.4,10.0,0.7299,discharge,-29.828,20.2,3.9047,3.3905,17.2388
10,10.68,10.0,0.7325,charge,4.99,20.2,3.9237,4.009,17.0935
10,11.28,10.0,0.6848,charge,5.0,20.2,3.8631,3.9551,18.4007
10,10.84,10.0,0.6844,discharge,-29.697,20.2,3.8549,3.3493,17.0253
10,10.62,10.0,0.687,charge,4.976,20.2,3.8758,3.9686,18.6495
10,10.86,10.0,0.6392,charge,5.0,20.2,3.8163,3.9037,17.4807
10,11.54,10.0,0.6388,discharge,-29.708,20.2,3.8076,3.2972,17.1806
10,11.34,10.0,0.6414,charge,4.988,20.2,3.8208,3.907,17.2804
10,10.74,10.0,0.5936,charge,5.0,20.2,3.7676,3.8541,17.3017
10,10.75,10.0,0.5932,discharge,-29.731,20.2,3.7592,3.2427,17.3724
10,10.86,10.0,0.5958,charge,4.992,20.2,3.7713,3.8566,17.086
10,10.74,10.0,0.5478,charge,4.998,20.2,3.7183,3.8049,17.3252
10,11.36,10.0,0.5473,discharge,-28.697,20.2,3.7096,3.2057,17.5596
10,10.83,10.0,0.5499,charge,4.991,20.2,3.7217,3.8071,17.1098
10,10.58,10.0,0.5012,charge,5.0,20.2,3.6735,3.7601,17.3193
10,10.97,10.0,0.5008,discharge,-26.186,20.2,3.6646,3.2006,17.7194
10,10.91,10.0,0.5031,charge,4.991,20.2,3.6775,3.7629,17.1098
10,11.17,10.0,0.4541,charge,4.999,20.2,3.6356,3.7237,17.6242
10,10.78,10.0,0.4537,discharge,-23.631,20.2,3.628,3.1986,18.171
10,10.75,10.0,0.4558,charge,4.99,20.2,3.642,3.7285,17.3357
10,10.74,10.0,0.4066,charge,4.998,20.2,3.5979,3.6884,18.1069
10,11.13,10.0,0.4062,discharge,-20.884,20.2,3.5926,3.2,18.7991
10,10.96,10.0,0.4081,charge,4.986,20.2,3.6084,3.6967,17.7114
10,10.81,10.0,0.3583,charge,4.998,20.2,3.5577,3.6508,18.6271
10,10.77,10.0,0.3579,discharge,-17.904,20.2,3.5541,3.1996,19.8
10,11.11,10.0,0.3595,charge,4.98,20.2,3.5702,3.6629,18.6156
