cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,375,0.93983,2.81536,1.0,0,10.0,discharge,4.1629,2.5,4,-32.38,-111.529,-122.275,10.746,3.444,0.99601
BOOST,375,0.93983,2.81536,0.9531,1,2.0,discharge,4.0983,2.5,4,-32.38,-130.257,-135.199,4.941,4.023,0.99954
BOOST,375,0.93983,2.81536,0.9531,1,10.0,discharge,4.0983,2.5,4,-32.38,-112.835,-117.66,4.825,3.485,0.99923
BOOST,375,0.93983,2.81536,0.9062,2,2.0,discharge,4.0815,2.5,4,-32.378,-132.841,-138.16,5.319,4.103,0.99959
BOOST,375,0.93983,2.81536,0.9062,2,10.0,discharge,4.0815,2.5,4,-32.378,-111.039,-114.686,3.647,3.429,0.99957
BOOST,375,0.93983,2.81536,0.8123,3,2.0,discharge,4.0253,2.5,4,-32.378,-128.962,-134.903,5.942,3.983,0.99949
BOOST,375,0.93983,2.81536,0.8123,3,10.0,discharge,4.0253,2.5,4,-32.378,-104.317,-112.038,7.722,3.222,0.99778
BOOST,375,0.93983,2.81536,0.7185,4,2.0,discharge,3.9229,2.5,4,-32.378,-123.505,-129.97,6.465,3.814,0.99943
BOOST,375,0.93983,2.81536,0.7185,4,10.0,discharge,3.9229,2.5,4,-32.378,-102.695,-107.894,5.199,3.172,0.99825
BOOST,375,0.93983,2.81536,0.6246,5,2.0,discharge,3.8435,2.5,4,-32.379,-119.319,-124.009,4.69,3.685,0.99948
BOOST,375,0.93983,2.81536,0.6246,5,10.0,discharge,3.8435,2.5,4,-32.379,-97.116,-100.492,3.376,2.999,0.99914
BOOST,375,0.93983,2.81536,0.5307,6,2.0,discharge,3.7373,2.5,4,-32.379,-113.779,-116.046,2.268,3.514,0.99992
BOOST,375,0.93983,2.81536,0.5307,6,10.0,discharge,3.7373,2.5,4,-32.379,-90.549,-92.672,2.123,2.797,0.99972
BOOST,375,0.93983,2.81536,0.4369,7,2.0,discharge,3.655,2.5,4,-32.378,-105.106,-106.059,0.952,3.246,0.99998
BOOST,375,0.93983,2.81536,0.4369,7,10.0,discharge,3.655,2.5,4,-32.378,-83.627,-85.017,1.39,2.583,0.99983
BOOST,375,0.93983,2.81536,0.343,8,2.0,discharge,3.594,2.5,4,-32.379,-98.072,-97.804,0.268,3.029,1.0
BOOST,375,0.93983,2.81536,0.343,8,10.0,discharge,3.594,2.5,4,-32.379,-76.787,-77.707,0.92,2.372,0.99992
BOOST,375,0.93983,2.81536,0.2492,9,2.0,discharge,3.5123,2.5,4,-32.379,-86.4,-87.024,0.624,2.668,0.99998
BOOST,375,0.93983,2.81536,0.2492,9,10.0,discharge,3.5123,2.5,4,-32.379,-63.472,-61.748,1.724,1.96,0.99964
BOOST,375,0.93983,2.81536,0.2023,10,2.0,discharge,3.4574,2.5,4,-32.379,-73.207,-72.348,0.858,2.261,0.99995
BOOST,375,0.93983,2.81536,0.2023,10,10.0,discharge,3.4574,2.5,4,-32.379,-47.088,-43.798,3.289,1.454,0.99359
BOOST,375,0.93983,2.81536,0.1553,11,2.0,discharge,3.4139,2.5,4,-32.381,-58.058,-56.253,1.805,1.793,0.99931
BOOST,375,0.93983,2.81536,0.1553,11,10.0,discharge,3.4139,2.5,4,-32.381,-31.839,-32.348,0.509,0.983,0.99201
BOOST,375,0.93983,2.81536,0.1084,12,2.0,discharge,3.3604,2.5,4,-22.155,-27.039,-19.496,7.543,1.22,0.76726
BOOST,375,0.93983,2.81536,0.1084,12,10.0,discharge,3.3604,2.5,4,-22.155,-20.676,,,0.933,0.97457
BOOST,412,0.93536,2.80198,1.0,0,2.0,discharge,4.1618,2.5,4,-32.236,-122.885,-131.807,8.921,3.812,0.99853
BOOST,412,0.93536,2.80198,1.0,0,10.0,discharge,4.1618,2.5,4,-32.236,-108.634,-119.036,10.402,3.37,0.99603
BOOST,412,0.93536,2.80198,0.9533,1,2.0,discharge,4.0988,2.5,4,-32.235,-129.252,-135.876,6.624,4.01,0.9993
BOOST,412,0.93536,2.80198,0.9533,1,10.0,discharge,4.0988,2.5,4,-32.235,-111.921,-117.135,5.214,3.472,0.99909
BOOST,412,0.93536,2.80198,0.9066,2,2.0,discharge,4.0807,2.5,4,-32.235,-127.255,-121.977,5.279,3.948,0.99966
BOOST,412,0.93536,2.80198,0.9066,2,10.0,discharge,4.0807,2.5,4,-32.235,-106.35,-101.823,4.527,3.299,0.99955
BOOST,412,0.93536,2.80198,0.7922,4,2.0,discharge,3.9963,2.5,4,-32.236,-122.694,-128.751,6.057,3.806,0.99924
BOOST,412,0.93536,2.80198,0.7922,4,10.0,discharge,3.9963,2.5,4,-32.236,-100.735,-109.887,9.152,3.125,0.99679
BOOST,412,0.93536,2.80198,0.6988,5,2.0,discharge,3.9073,2.5,4,-32.237,-120.616,-129.265,8.649,3.742,0.9988
BOOST,412,0.93536,2.80198,0.6988,5,10.0,discharge,3.9073,2.5,4,-32.237,-99.68,-106.329,6.648,3.092,0.99761
BOOST,412,0.93536,2.80198,0.6054,6,2.0,discharge,3.8167,2.5,4,-32.238,-116.58,-122.259,5.679,3.616,0.99932
BOOST,412,0.93536,2.80198,0.6054,6,10.0,discharge,3.8167,2.5,4,-32.238,-94.22,-98.254,4.034,2.923,0.99913
BOOST,412,0.93536,2.80198,0.512,7,2.0,discharge,3.7158,2.5,4,-32.237,-109.218,-112.134,2.916,3.388,0.99983
BOOST,412,0.93536,2.80198,0.512,7,10.0,discharge,3.7158,2.5,4,-32.237,-86.958,-89.793,2.834,2.697,0.99956
BOOST,412,0.93536,2.80198,0.4185,8,2.0,discharge,3.6397,2.5,4,-32.237,-102.632,-104.799,2.168,3.184,0.9999
BOOST,412,0.93536,2.80198,0.4185,8,10.0,discharge,3.6397,2.5,4,-32.237,-81.363,-83.482,2.119,2.524,0.9997
BOOST,412,0.93536,2.80198,0.3251,9,2.0,discharge,3.5773,2.5,4,-32.237,-94.634,-97.558,2.924,2.936,0.99979
BOOST,412,0.93536,2.80198,0.3251,9,10.0,discharge,3.5773,2.5,4,-32.237,-73.207,-74.35,1.143,2.271,0.99989
BOOST,412,0.93536,2.80198,0.2316,10,2.0,discharge,3.488,2.5,4,-32.238,-78.552,-79.428,0.876,2.437,0.99996
BOOST,412,0.93536,2.80198,0.2316,10,10.0,discharge,3.488,2.5,4,-32.238,-54.478,-51.995,2.483,1.69,0.99842
BOOST,412,0.93536,2.80198,0.1849,11,2.0,discharge,3.4351,2.5,4,-32.235,-66.299,-65.226,1.073,2.057,0.9999
BOOST,412,0.93536,2.80198,0.1849,11,10.0,discharge,3.4351,2.5,4,-32.235,-37.053,-35.298,1.755,1.149,0.99039
BOOST,412,0.93536,2.80198,0.1382,12,2.0,discharge,3.3938,2.5,4,-28.475,-40.517,-35.377,5.14,1.423,0.98404
BOOST,412,0.93536,2.80198,0.1382,12,10.0,discharge,3.3938,2.5,4,-28.475,-25.865,-37.547,11.682,0.908,0.95336
BOOST,412,0.93536,2.80198,0.0914,13,2.0,discharge,3.3063,2.5,4,-14.082,-15.66,-13.182,2.478,1.112,0.80172
BOOST,412,0.93536,2.80198,0.0914,13,10.0,discharge,3.3063,2.5,4,-14.082,-12.946,-15.026,2.08,0.919,0.9457
BOOST,450,0.92996,2.78578,1.0,0,2.0,discharge,4.1598,2.5,4,-32.041,-122.73,-129.775,7.045,3.83,0.99867
BOOST,450,0.92996,2.78578,1.0,0,10.0,discharge,4.1598,2.5,4,-32.041,-108.773,-118.663,9.89,3.395,0.99609
BOOST,450,0.92996,2.78578,0.9536,1,2.0,discharge,4.0981,2.5,4,-32.042,-125.826,-132.962,7.136,3.927,0.99923
BOOST,450,0.92996,2.78578,0.9536,1,10.0,discharge,4.0981,2.5,4,-32.042,-109.482,-115.006,5.524,3.417,0.99898
BOOST,450,0.92996,2.78578,0.9071,2,2.0,discharge,4.0812,2.5,4,-32.042,-130.001,-136.194,6.193,4.057,0.99945
BOOST,450,0.92996,2.78578,0.9071,2,10.0,discharge,4.0812,2.5,4,-32.042,-108.677,-113.149,4.471,3.392,0.9994
BOOST,450,0.92996,2.78578,0.8143,3,2.0,discharge,4.024,2.5,4,-32.041,-124.359,-131.458,7.099,3.881,0.99929
BOOST,450,0.92996,2.78578,0.8143,3,10.0,discharge,4.024,2.5,4,-32.041,-100.556,-108.148,7.593,3.138,0.99766
BOOST,450,0.92996,2.78578,0.7214,4,2.0,discharge,3.9224,2.5,4,-32.04,-121.743,-128.645,6.902,3.8,0.99928
BOOST,450,0.92996,2.78578,0.7214,4,10.0,discharge,3.9224,2.5,4,-32.04,-101.096,-106.749,5.653,3.155,0.99797
BOOST,450,0.92996,2.78578,0.6286,5,2.0,discharge,3.8423,2.5,4,-32.041,-115.551,-123.352,7.801,3.606,0.99901
BOOST,450,0.92996,2.78578,0.6286,5,10.0,discharge,3.8423,2.5,4,-32.041,-93.889,-99.63,5.741,2.93,0.99868
BOOST,450,0.92996,2.78578,0.5357,6,2.0,discharge,3.7391,2.5,4,-32.039,-111.246,-113.914,2.668,3.472,0.99988
BOOST,450,0.92996,2.78578,0.5357,6,10.0,discharge,3.7391,2.5,4,-32.039,-88.445,-90.94,2.494,2.761,0.99962
BOOST,450,0.92996,2.78578,0.4428,7,2.0,discharge,3.6562,2.5,4,-32.042,-102.158,-106.604,4.446,3.188,0.99962
BOOST,450,0.92996,2.78578,0.4428,7,10.0,discharge,3.6562,2.5,4,-32.042,-81.249,-84.975,3.726,2.536,0.99933
BOOST,450,0.92996,2.78578,0.3499,8,2.0,discharge,3.5944,2.5,4,-32.041,-94.99,-96.358,1.368,2.965,0.99996
BOOST,450,0.92996,2.78578,0.3499,8,10.0,discharge,3.5944,2.5,4,-32.041,-74.123,-74.647,0.523,2.313,0.99996
BOOST,450,0.92996,2.78578,0.2571,9,2.0,discharge,3.5147,2.5,4,-32.041,-83.316,-83.543,0.227,2.6,0.99997
BOOST,450,0.92996,2.78578,0.2571,9,10.0,discharge,3.5147,2.5,4,-32.041,-60.745,-59.201,1.544,1.896,0.99967
BOOST,450,0.92996,2.78578,0.2106,10,2.0,discharge,3.4615,2.5,4,-32.04,-70.172,-70.744,0.572,2.19,0.99998
BOOST,450,0.92996,2.78578,0.2106,10,10.0,discharge,3.4615,2.5,4,-32.04,-44.557,-42.303,2.254,1.391,0.99579
BOOST,450,0.92996,2.78578,0.1642,11,2.0,discharge,3.4171,2.5,4,-32.042,-57.619,-55.492,2.127,1.798,0.99924
BOOST,450,0.92996,2.78578,0.1642,11,10.0,discharge,3.4171,2.5,4,-32.042,-31.593,-32.003,0.41,0.986,0.99354
BOOST,450,0.92996,2.78578,0.1177,12,2.0,discharge,3.3646,2.5,4,-21.815,-26.076,-19.353,6.723,1.195,0.77379
BOOST,450,0.92996,2.78578,0.1177,12,10.0,discharge,3.3646,2.5,4,-21.815,-20.339,-9.97,10.369,0.932,0.97283
BOOST,487,0.91359,2.73675,1.0,0,2.0,discharge,4.1473,2.5,4,-31.436,-116.427,-126.617,10.19,3.704,0.99789
BOOST,487,0.91359,2.73675,1.0,0,10.0,discharge,4.1473,2.5,4,-31.436,-104.678,-115.801,11.123,3.33,0.99512
BOOST,487,0.91359,2.73675,0.9544,1,2.0,discharge,4.0968,2.5,4,-31.436,-121.965,-129.512,7.547,3.88,0.99905
BOOST,487,0.91359,2.73675,0.9544,1,10.0,discharge,4.0968,2.5,4,-31.436,-106.923,-113.022,6.099,3.401,0.99871
BOOST,487,0.91359,2.73675,0.9088,2,2.0,discharge,4.0802,2.5,4,-31.438,-124.386,-130.88,6.493,3.957,0.99931
BOOST,487,0.91359,2.73675,0.9088,2,10.0,discharge,4.0802,2.5,4,-31.438,-104.827,-109.888,5.061,3.334,0.9992
BOOST,487,0.91359,2.73675,0.8177,3,2.0,discharge,4.0242,2.5,4,-31.438,-121.061,-126.704,5.643,3.851,0.99952
BOOST,487,0.91359,2.73675,0.8177,3,10.0,discharge,4.0242,2.5,4,-31.438,-98.824,-106.473,7.649,3.143,0.99766
BOOST,487,0.91359,2.73675,0.7266,4,2.0,discharge,3.9232,2.5,4,-31.436,-118.499,-124.427,5.928,3.77,0.99936
BOOST,487,0.91359,2.73675,0.7266,4,10.0,discharge,3.9232,2.5,4,-31.436,-98.412,-103.82,5.409,3.131,0.99813
BOOST,487,0.91359,2.73675,0.6355,5,2.0,discharge,3.8459,2.5,4,-31.438,-114.403,-118.696,4.292,3.639,0.99956
BOOST,487,0.91359,2.73675,0.6355,5,10.0,discharge,3.8459,2.5,4,-31.438,-92.988,-96.603,3.615,2.958,0.99906
BOOST,487,0.91359,2.73675,0.5444,6,2.0,discharge,3.7465,2.5,4,-31.435,-108.78,-112.068,3.288,3.46,0.99978
BOOST,487,0.91359,2.73675,0.5444,6,10.0,discharge,3.7465,2.5,4,-31.435,-86.268,-88.585,2.317,2.744,0.99962
BOOST,487,0.91359,2.73675,0.4532,7,2.0,discharge,3.6608,2.5,4,-31.437,-101.321,-102.688,1.367,3.223,0.99995
BOOST,487,0.91359,2.73675,0.4532,7,10.0,discharge,3.6608,2.5,4,-31.437,-80.711,-82.408,1.697,2.567,0.99976
BOOST,487,0.91359,2.73675,0.3621,8,2.0,discharge,3.5989,2.5,4,-31.437,-93.772,-94.808,1.037,2.983,0.99997
BOOST,487,0.91359,2.73675,0.3621,8,10.0,discharge,3.5989,2.5,4,-31.437,-73.718,-74.711,0.993,2.345,0.99989
BOOST,487,0.91359,2.73675,0.271,9,2.0,discharge,3.5205,2.5,4,-31.437,-81.582,-82.396,0.814,2.595,0.99997
BOOST,487,0.91359,2.73675,0.271,9,10.0,discharge,3.5205,2.5,4,-31.437,-59.808,-58.189,1.62,1.902,0.99962
BOOST,487,0.91359,2.73675,0.2254,10,2.0,discharge,3.4714,2.5,4,-31.436,-70.733,-70.636,0.097,2.25,0.99999
BOOST,487,0.91359,2.73675,0.2254,10,10.0,discharge,3.4714,2.5,4,-31.436,-46.021,-43.389,2.632,1.464,0.99593
BOOST,487,0.91359,2.73675,0.1799,11,2.0,discharge,3.424,2.5,4,-31.436,-57.137,-55.187,1.95,1.818,0.99939
BOOST,487,0.91359,2.73675,0.1799,11,10.0,discharge,3.424,2.5,4,-31.436,-31.558,-31.429,0.128,1.004,0.99623
BOOST,487,0.91359,2.73675,0.1343,12,2.0,discharge,3.3751,2.5,4,-22.521,-30.146,-22.796,7.35,1.339,0.89114
BOOST,487,0.91359,2.73675,0.1343,12,10.0,discharge,3.3751,2.5,4,-22.521,-21.997,-22.521,0.524,0.977,0.99434
BOOST,525,0.91742,2.74824,1.0,0,2.0,discharge,4.1463,2.5,4,-31.604,-114.927,-125.444,10.517,3.636,0.99746
BOOST,525,0.91742,2.74824,1.0,0,10.0,discharge,4.1463,2.5,4,-31.604,-103.239,-114.24,11.001,3.267,0.99505
BOOST,525,0.91742,2.74824,0.9542,1,2.0,discharge,4.0965,2.5,4,-31.606,-122.0,-131.118,9.117,3.86,0.99867
BOOST,525,0.91742,2.74824,0.9542,1,10.0,discharge,4.0965,2.5,4,-31.606,-106.254,-112.465,6.211,3.362,0.99866
BOOST,525,0.91742,2.74824,0.9084,2,2.0,discharge,4.0803,2.5,4,-31.606,-122.479,-129.809,7.33,3.875,0.99919
BOOST,525,0.91742,2.74824,0.9084,2,10.0,discharge,4.0803,2.5,4,-31.606,-102.688,-107.591,4.903,3.249,0.99922
BOOST,525,0.91742,2.74824,0.8168,3,2.0,discharge,4.0215,2.5,4,-31.604,-119.798,-124.278,4.481,3.791,0.99949
BOOST,525,0.91742,2.74824,0.8168,3,10.0,discharge,4.0215,2.5,4,-31.604,-97.771,-105.844,8.073,3.094,0.99731
BOOST,525,0.91742,2.74824,0.7251,4,2.0,discharge,3.9216,2.5,4,-31.605,-116.35,-121.627,5.277,3.681,0.99961
BOOST,525,0.91742,2.74824,0.7251,4,10.0,discharge,3.9216,2.5,4,-31.605,-96.337,-99.969,3.632,3.048,0.99888
BOOST,525,0.91742,2.74824,0.6335,5,2.0,discharge,3.8385,2.5,4,-31.605,-112.718,-117.11,4.393,3.566,0.99961
BOOST,525,0.91742,2.74824,0.6335,5,10.0,discharge,3.8385,2.5,4,-31.605,-91.522,-94.866,3.344,2.896,0.99919
BOOST,525,0.91742,2.74824,0.5419,6,2.0,discharge,3.7398,2.5,4,-31.605,-108.156,-111.943,3.787,3.422,0.99972
BOOST,525,0.91742,2.74824,0.5419,6,10.0,discharge,3.7398,2.5,4,-31.605,-85.673,-88.265,2.592,2.711,0.99958
