cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-12-21_15.29_CC_protocol_halfC_0.5C_dchg_(b)_IN21700_30T_cycle_#56.mat,halfC,56,7084,0.0,24.89,25.9,26.29,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-12-21_15.29_CC_protocol_halfC_CAP_(b)_forexcel_cycle_#56.mat,CAP,56,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-12-21_17.27_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#57.mat,other,57,1064,0.0,25.23,26.24,26.24,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-12-21_18.27_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#57_to_71.mat,drive,57,106041,0.0,24.57,26.26,26.31,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,Cover20 is not performed this week_#2.mat,other,-1,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-15-21_10.42_CC_protocol_whole_Schedule_IN21700_30T_cycle_#72_week#3.mat,schedule,72,282033,0.0,24.48,26.16,26.19,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-15-21_12.00_CC_protocol_OCV_0.05C_IN21700_30T_cycle_#72.mat,OCV,72,2444,0.0,24.57,25.56,25.43,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_05.50_CC_protocol_halfC_0.5C_dchg_(a)_IN21700_30T_cycle_#73.mat,halfC,73,7059,0.0,24.7,25.45,25.65,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_05.50_CC_protocol_halfC_CAP_(a)_forexcel_cycle_#73.mat,CAP,73,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_07.47_CC_protocol_1C_charge_IN21700_30T_cycle_#2.mat,other,2,155084,0.0,24.48,26.17,26.16,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_07.47_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#2.mat,CAP,2,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_08.02_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#73.mat,other,73,338,0.0,24.78,26.13,25.4,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-17-21_09.18_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#74.mat,other,74,3489,0.0,24.95,25.82,26.09,
